39	van_de_Schoot_2017|A|3336	Cross-sectional study of 23 Holocaust survivors examining posttraumatic growth correlates; no longitudinal trajectory clustering method.
40	van_de_Schoot_2017|A|3558	Examines co-occurrence of PTSD and SUD over time; no clustering method identifying PTSD trajectories.
41	van_de_Schoot_2017|A|3567	Prospective memory study in veterans, no longitudinal trajectory clustering of PTSD.
42	van_de_Schoot_2017|A|3692	Trajectories of student-teacher relationship quality, not PTSD symptoms following trauma.
43	van_de_Schoot_2017|A|4089	Latent class analysis of early childhood risk factors, not PTSD trajectories.
44	van_de_Schoot_2017|A|4734	Focuses on depression/anxiety trajectories in musculoskeletal pain, not PTSD following a traumatic event.
45	van_de_Schoot_2017|A|719	Conceptual/theoretical mapping of heterogeneity of trauma responses; no longitudinal clustering method described in abstract.
46	van_de_Schoot_2017|B|1691	Pharmacokinetic study of vasopressin antagonist; unrelated to PTSD trajectory clustering.
47	van_de_Schoot_2017|B|1705	Cross-sectional retrospective study of ACEs and personality in depression; no PTSD trajectories.
48	van_de_Schoot_2017|B|1745	Cross-sectional study of anxiety sensitivity and PTSD symptom clusters; no longitudinal trajectory clustering.
49	van_de_Schoot_2017|B|1746	Cross-sectional community sample exploring intolerance of uncertainty and PTSD; no trajectory clustering method.
50	van_de_Schoot_2017|B|1761	Mental health benefits of Army service; no PTSD trajectory clustering method.
51	van_de_Schoot_2017|B|1840	Cross-sectional prevalence study of common mental disorders in primary care, not longitudinal PTSD trajectory clustering.
52	van_de_Schoot_2017|B|2410	Only two time points measured; fewer than three waves required for trajectory modelling.
53	van_de_Schoot_2017|B|2437	Cross-sectional patterns of distress in mothers of preterm infants, not longitudinal trajectory clustering.
54	van_de_Schoot_2017|B|2516	Longitudinal tsunami study but no evidence of LGMM/LCGA/clustering of trajectories.
55	van_de_Schoot_2017|B|3226	Hierarchical cluster analysis of symptoms but cross-sectional, not longitudinal trajectory study.
56	van_de_Schoot_2017|B|327	Latent profile analysis is cross-sectional comorbidity patterns, not longitudinal trajectory clustering.
57	van_de_Schoot_2017|B|3557	Longitudinal but examines co-occurrence rates, not trajectory clustering of PTSD symptoms.
58	van_de_Schoot_2017|B|4305	Prospective cross-sectional study of PTS in relatives after TBI; not longitudinal trajectory clustering.
59	van_de_Schoot_2017|B|5569	Cross-sectional examination of PTS-substance associations; no longitudinal trajectory clustering method.
60	van_de_Schoot_2017|B|557	Naturalistic prospective study of PTSD course using survival analysis, no LGMM/LCGA clustering method.
61	Smid_2020|A|18	No abstract; title suggests multilevel model fitting but no evidence of small-sample SEM comparison.
62	Smid_2020|A|2	Hierarchical response time models, not SEM; no abstract confirming Bayesian vs frequentist SEM comparison.
63	Smid_2020|A|22	No abstract; title about variance components in longitudinal studies, not SEM Bayesian vs frequentist small-sample comparison.
64	Smid_2020|A|23	Clustered data methods comparison, not specifically SEM Bayesian vs frequentist.
65	Smid_2020|A|25	Effect sizes for mediation models; no explicit small-sample comparison of Bayesian vs frequentist SEM estimation.
66	Smid_2020|A|9	Nonlinear mixed-effects mixture models, no explicit small-sample frequentist comparison.
67	Smid_2020|B|18	No abstract; title suggests multilevel model fitting but no clear SEM small-sample comparison.
68	Smid_2020|B|2	About hierarchical response time models; no abstract and unclear SEM small-sample comparison.
69	Smid_2020|B|22	About Bayesian inference for variance components in longitudinal studies; no SEM, no small-sample comparison to frequentist.
70	Smid_2020|B|23	Clustered data small-sample methods, not SEM Bayesian vs frequentist comparison.
71	Smid_2020|B|25	Effect sizes for mediation models; not focused on small samples or SEM parameter estimation comparison.
72	Smid_2020|B|6	Proposes Bayesian mediation analysis but no simulation comparing Bayesian to frequentist estimation for SEM with small samples.
73	Smid_2020|B|9	Nonlinear mixed-effects mixture models; no explicit small-sample Bayesian vs frequentist comparison.
