ann_id,item_id,claim_text,cited_paper_doi,evidence_mode,label_A,conf_A,note_A,label_B,conf_B,note_B,label_C,conf_C,note_C,majority_label,unanimous,construction_category,expected_label,needs_adjudication
ann-11,hss-altered-08,"AI cannot ever replace us in these essential aspects of our work as educators, yet it might make our work less interesting, engaging, and innovative.",10.55593/ej.27107int,passage,unsupported,high,"Paper says AI ""might make our work more interesting, engaging, and innovative"", the opposite valence of the claim's ""less"".",unsupported,high,"Paper reads 'yet it might make our work more interesting, engaging, and innovative'; the claim reverses 'more' to 'less'.",unsupported,high,"Paper says AI ""might make our work more interesting, engaging, and innovative"", the opposite of the claim's ""less interesting"".",unsupported,True,altered,unsupported|needs_nuance,False
ann-12,hss-paraphrase-03,Findings of MANOVA demonstrated that learners who have higher PsyCap are more willing to communicate in English in comparison to learners with lower levels of PsyCap.,10.32601/ejal.651346,passage,verified,high,"Passage reports the same MANOVA result, ""students who have higher PsyCap are more willing to communicate in English""; only learners/students wording differs.",verified,high,Paper reads 'students who have higher PsyCap are more willing to communicate in English in comparison to students with lower levels'; only wording changes.,verified,high,"Passage reads ""students who have higher PsyCap are more willing to communicate in English"", differing only in students versus learners.",verified,True,paraphrase,verified,False
ann-13,hss-wrong_paper-02,"Real-time corrective feedback and predictive text are two technologies that have received very little attention in L2 research (Frankenberg-Garcia, 2019).",10.32601/ejal.651346,no_match,unsupported,high,"Cited PsyCap paper's cached text has no hits for corrective feedback, predictive text, Frankenberg-Garcia or technology, so it does not address the claim.",unsupported,high,"Khajavy et al. 2019, on PsyCap and willingness to communicate, contains no instance of 'predictive text', 'corrective feedback' or 'Frankenberg-Garcia'.",unsupported,high,"The cited PsyCap paper has no hits for ""corrective feedback"", ""predictive text"" or ""Frankenberg"", so the citation does not address the claim.",unsupported,True,wrong_paper,unsupported,False
ann-14,hss-altered-03,"In addition, Grammarly could be recommended to L2 students as a means to decrease lexical variation in their writing, as this study’s findings illustrate that lexical richness was enhanced in the Grammarly condition.",10.29140/jaltcall.v17n2.336,passage,unsupported,high,"Paper recommends Grammarly as a means to ""increase lexical variation"", contradicting the claim's ""decrease lexical variation"".",unsupported,high,"Paper reads 'as a means to increase lexical variation in their writing'; the claim reverses this to 'decrease', contradicting its own clause about enhanced lexical richness.",unsupported,high,"Paper recommends Grammarly ""as a means to increase lexical variation in their writing"", contradicting the claim's ""decrease lexical variation"".",unsupported,True,altered,unsupported|needs_nuance,False
ann-15,hss-verbatim-02,"Empirical research is also needed to investigate students’ perceptions of AI (Chan & Hu, 2023) and effective practices and models of AI implementation in English language teaching.",10.55593/ej.27107int,passage,verified,high,"Passage is identical to the claim, including ""students' perceptions of AI (Chan & Hu, 2023) and effective practices and models"".",verified,high,"Paper contains the sentence verbatim: 'Empirical research is also needed to investigate students' perceptions of AI (Chan & Hu, 2023)'.",verified,high,"Passage is identical to the claim: ""Empirical research is also needed to investigate students' perceptions of AI (Chan & Hu, 2023)"".",verified,True,verbatim,verified,False
ann-16,hss-no_full_text-03,The challenge of this endeavor is to find an appropriate theoretical framework within which the notion of learning experience can be interpreted.,10.14746/ssllt.2019.9.1.2,withheld,no_full_text,high,"Item carries the marker ""Evidence withheld: no passage or paper text is available"", so no verification is possible.",no_full_text,high,"Item shows the marker 'Evidence withheld: no passage or paper text is available for this item', so there is nothing to judge against.",no_full_text,high,"Item carries the marker ""Evidence withheld: no passage or paper text is available for this item"", so nothing can be checked.",no_full_text,True,no_full_text,no_full_text,False
ann-17,hss-verbatim-04,A look at the distribution shows a skew towards higher values for FLE and lower values for FLCA.,10.14746/ssllt.2020.10.1.3,passage,verified,high,"Passage is identical to the claim, ""a skew towards higher values for FLE and lower values for FLCA"".",verified,high,Paper contains verbatim: 'A look at the distribution shows a skew towards higher values for FLE and lower values for FLCA'.,verified,high,"Passage is identical: ""A look at the distribution shows a skew towards higher values for FLE and lower values for FLCA"".",verified,True,verbatim,verified,False
ann-18,hss-no_full_text-01,"Nevertheless, Matt and Joachim shared their feelings of self-doubt and incompetence which resulted from negative experiences related to their linguistic backgrounds and competencies.",10.55593/ej.27105a9,withheld,no_full_text,high,"Item carries the marker ""Evidence withheld: no passage or paper text is available"", so no verification is possible.",no_full_text,high,"Item shows the marker 'Evidence withheld: no passage or paper text is available for this item', so there is nothing to judge against.",no_full_text,high,"Item carries the marker ""Evidence withheld: no passage or paper text is available for this item"", so nothing can be checked.",no_full_text,True,no_full_text,no_full_text,False
ann-19,hss-paraphrase-04,Brief data from the interviews and the narratives of one best fit candidate for each archetype are presented in the findings.,10.32601/ejal.710194,passage,verified,high,"Passage matches the claim apart from ""results"" versus ""findings"", both reporting ""one best fit candidate for each archetype"".",verified,high,Paper reads 'the narratives of one best fit candidate for each archetype are presented in the results'; 'findings' is a synonym for that section label.,verified,high,"Passage matches the claim except results versus findings: ""Brief data from the interviews and the narratives of one best fit candidate"".",verified,True,paraphrase,verified,False
ann-20,hss-verbatim-03,"In accordance with this approach, the L2 Learning Experience can be defined as the perceived quality of the learners’ engagement with various aspects of the language learning process.",10.14746/ssllt.2019.9.1.2,passage,verified,high,"Passage is identical to the claim's definition, ""the perceived quality of the learners' engagement with various aspects of the language learning process"".",verified,high,Paper proposes 'the L2 Learning Experience may be defined as the perceived quality of the learners' engagement with various aspects'; 'can' matches the paper's 'may'.,verified,high,"Passage is identical: ""the perceived quality of the learners' engagement with various aspects of the language learning process"".",verified,True,verbatim,verified,False
ann-21,hss-altered-09,"Statistical analysis revealed that while FLCA was constant with both teachers, FLE was significantly lower with the Main Teacher.",10.14746/ssllt.2020.10.1.3,passage,unsupported,high,"Paper reports FLE ""significantly higher with the Main Teacher"", the reverse of the claim's ""significantly lower"".",unsupported,high,Abstract and t-test results read 'FLE was significantly higher with the Main Teacher'; the claim reverses higher to lower.,unsupported,high,"Paper reports ""FLE was significantly higher with the Main Teacher"", the reverse of the claim's ""significantly lower"".",unsupported,True,altered,unsupported|needs_nuance,False
ann-22,hss-altered-01,The results revealed an effect size of 1.62 which can be interpreted as a large effect of the independent variable (CL) on the dependent variable (speaking skill).,10.17323/jle.2019.9809,passage,unsupported,high,"Paper reports ""an effect size of 0.81"", not the 1.62 asserted in the claim.",unsupported,medium,"Paper reports 'an effect size of 0.81 which can be interpreted as a large effect'; the claim doubles the value to 1.62, though the 'large effect' reading survives.",needs_nuance,medium,"Paper reports ""an effect size of 0.81 which can be interpreted as a large effect"", so the large effect holds but 1.62 doubles it.",unsupported,False,altered,unsupported|needs_nuance,True
ann-23,hss-altered-02,"Seventeen participants (36%) reported using it to write the whole assignment for them, which is certainly a cause for concern.",10.17323/jle.2023.17379,passage,unsupported,high,"Paper reports ""Seventeen participants (18%)"", so the claim's 36% misstates the reported percentage.",unsupported,medium,Paper reports 'Seventeen participants (18%)' for writing the whole assignment; the claim's 36% is the paper's separate figure for writing part of an assignment.,needs_nuance,medium,"Paper reads ""Seventeen participants (18%) reported using it to write the whole assignment"", so the count holds but the claim doubles the proportion to 36%.",unsupported,False,altered,unsupported|needs_nuance,True
ann-24,hss-altered-06,"Few studies used one-on-one oral interviews with their participants to understand their decision-making process and factors influencing their decisions, which in turn is relevant to their exertion of agency.",10.55593/ej.26103a4,passage,unsupported,high,"Paper says ""Most studies used one-on-one oral interviews"", contradicting the claim's ""Few studies"".",unsupported,high,Paper reads 'Most studies used one-on-one oral interviews with their participants'; the claim reverses 'Most' to 'Few'.,unsupported,high,"Full text reads ""Most studies used one-on-one oral interviews with their participants"", contradicting the claim's ""Few studies"".",unsupported,True,altered,unsupported|needs_nuance,False
ann-25,hss-wrong_paper-01,Seventeen students (18%) reported that they had used ChatGPT to produce the entire assignment.,10.29140/jaltcall.v17n2.336,no_match,unsupported,high,"Cited Grammarly paper's cached text has zero hits for ChatGPT, Seventeen or entire assignment, so it does not address the claim.",unsupported,high,"Dizon and Gayed 2021, a Grammarly freewriting study, contains no instance of 'ChatGPT', 'Seventeen' or 'entire assignment', so it does not address the claim.",unsupported,high,"The Grammarly study never mentions ChatGPT and contains no ""Seventeen students (18%)"" figure, so the citation does not support the claim.",unsupported,True,wrong_paper,unsupported,False
ann-26,hss-no_full_text-05,"In the other five areas of integrated regulation: identified motivation, introjected regulation, external regulation, and amotivation, results of ANCOVAs showed no significant difference between the two groups.",10.17323/jle.2019.9809,withheld,no_full_text,high,"Item carries the marker ""Evidence withheld: no passage or paper text is available"", so no verification is possible.",no_full_text,high,"Item shows the marker 'Evidence withheld: no passage or paper text is available for this item', so there is nothing to judge against.",no_full_text,high,"Item carries the marker ""Evidence withheld: no passage or paper text is available for this item"", so nothing can be checked.",no_full_text,True,no_full_text,no_full_text,False
ann-27,hss-altered-10,The performance of the experimental group after being exposed to CL activities showed no significant difference between the results of the experimental and control groups.,10.17323/jle.2019.9809,passage,unsupported,high,"Paper reports the experimental group showed ""a significant difference"" from the control group, contradicting the claim's ""no significant difference"".",unsupported,high,Paper reads the experimental group 'showed a significant difference between the results of the experimental and control groups'; the claim inserts 'no'.,unsupported,high,"Paper reports the comparison ""showed a significant difference between the results of the experimental and control groups"", contradicting the claim's ""no significant difference"".",unsupported,True,altered,unsupported|needs_nuance,False
ann-28,hss-altered-07,"As a result of these biases, NESTs need to expend no significant cognitive labor on their socio-cultural and linguistic tasks compared to their NNEST colleagues.",10.55593/ej.27105a9,passage,unsupported,high,"Paper says NESTs ""need to expend significant cognitive labor"", the opposite of the claim's ""no significant cognitive labor"".",unsupported,high,Paper reads 'NESTs need to expend significant cognitive labor on their socio-cultural and linguistic tasks'; the claim inserts 'no' and reverses the finding.,unsupported,high,"Paper states NESTs ""need to expend significant cognitive labor on their socio-cultural and linguistic tasks"", which the claim negates.",unsupported,True,altered,unsupported|needs_nuance,False
ann-29,hss-verbatim-05,"In the other four areas of integrated regulation, introjected regulation, external regulation, and amotivation, both t-tests and effect sizes showed no significant improvements for both the experimental group and the control group.",10.17323/jle.2019.9809,passage,verified,high,"Passage is identical to the claim, ""both t-tests and effect sizes showed no significant improvements for both the experimental group and the control group"".",verified,high,Paper contains verbatim: 'both t-tests and effect sizes showed no significant improvements for both the experimental group and the control group'.,verified,high,"Passage is word for word the claim, including ""both t-tests and effect sizes showed no significant improvements for both"".",verified,True,verbatim,verified,False
ann-30,hss-wrong_paper-05,"Another finding is that in some studies situated in EFL contexts, interviews were conducted in participants‟ first languages, and later, interview transcriptions were translated into English.",10.55593/ej.27105a9,no_match,unsupported,high,"Cited trioethnography's cached text has no transcription-translation statement; interviews were with the three authors and only ""recorded and transcribed in full"" appears.",unsupported,high,"Hiratsuka et al. 2023 is a trioethnography of three teachers, with no instance of 'translated into English' or 'transcription' and no review of EFL interview studies.",unsupported,high,"The trioethnography reports only its own ""Individual interviews (about 100 minutes)"" and has no text on transcriptions translated into English across studies.",unsupported,True,wrong_paper,unsupported,False
