ann_id,item_id,claim_text,cited_paper_doi,evidence_mode,label_A,conf_A,note_A,label_B,conf_B,note_B,label_C,conf_C,note_C,majority_label,unanimous,construction_category,expected_label,expected_agree,needs_adjudication
ann-11,hss-altered-13,"Still, 89% of all revisions were successful, amounting up to 86% in the collaborative context that led to improvement of the text.",10.29140/tltl.v6n1.1168,passage,unsupported,high,"The paper states 'Still, 65% of all revisions were successful', not the claim's 89%.",unsupported,high,"Paper reports ""65% of all revisions were successful"", not the claim's ""89%"".",unsupported,high,"The paper reports '65% of all revisions were successful', contradicting the claim's '89%'.",unsupported,True,altered,unsupported,True,False
ann-12,hss-altered-11,"Cronbach’s alpha for all research structures has been calculated, and it is found that the composite reliability and Cronbach’s alpha values for all variables are above 1.0 and show the appropriate reliability of the model.",10.29140/jaltcall.v18n2.632,passage,unsupported,high,"The paper reports that the composite reliability and Cronbach's alpha values 'are above 0.7', contradicting the claim's 'above 1.0'.",unsupported,high,"Paper says the composite reliability and Cronbach's alpha values are ""above 0.7"", not the claim's ""above 1.0"", which would in any case be impossible.",unsupported,high,"The paper says the composite reliability and Cronbach's alpha values are 'above 0.7', contradicting the claim's 'above 1.0'.",unsupported,True,altered,unsupported,True,False
ann-13,hss-paraphrase-02,We observed the primary feature or advantage of the peer review process was the sense of empathy and resonance generated from the participants’ reading of the reviewed writings.,10.17323/jle.2022.15962,passage,verified,high,The passage 'We found the primary feature or advantage of the peer review process was the sense of empathy and resonance generated from the participants' reading of the reviewed writings' matches the claim apart from 'observed' for 'found'.,verified,high,"Paper reads ""We found the primary feature or advantage of the peer review process was the sense of empathy and resonance generated from the participants' reading of the reviewed writings"", the same statement with ""found"" for ""observed"".",verified,high,"The passage reads 'We found the primary feature or advantage of the peer review process was the sense of empathy and resonance', supporting the claim with only 'observed' substituted for 'found'.",verified,True,paraphrase,verified,True,False
ann-14,hss-wrong_paper-04,The recordings were transcribed and analysed to identify parts in whole class interaction where student interaction included student talk in ways that resulted in the negotiation of meaning and students’ use of varied communicative roles and functions.,10.17323/jle.2021.10771,no_match,unsupported,high,"The cited Becirovic et al. (2021) strategies paper returns 0 hits for 'transcrib', 'recordings', 'whole class interaction' and 'negotiation of meaning', so it does not address the claim.",unsupported,high,"Passage is ""No matching passage found in the cited paper""; the cached Becirovic et al. 2021 strategies survey returns zero hits for ""whole class"", ""transcrib"", ""recording"" and ""negotiation of meaning"", so it does not address this claim.",unsupported,high,"The passage says 'No matching passage found' and the cited strategies-and-achievement paper's cached text contains no 'transcrib', 'recording', 'whole class interaction' or 'negotiation of meaning', so the citation does not address the claim.",unsupported,True,wrong_paper,unsupported,True,False
ann-15,hss-no_full_text-07,Lack of significant differences between the groups shows an agreement among the participants about the most commonly used modes of PR.,10.32601/ejal.911245,withheld,no_full_text,high,The item shows the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path for it.,no_full_text,high,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", and no cached path is listed for it.",no_full_text,high,The row carries the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path.,no_full_text,True,no_full_text,no_full_text,True,False
ann-16,hss-altered-02,"By the same token, there have been studies of the curricular bases of reforms and guidelines designed mainly to achieve worse results in the quality, effectiveness, and efficiency of teaching.",10.14483/22487085.17087,passage,unsupported,high,"The paper reads 'designed mainly to achieve better results in the quality, effectiveness, and efficiency of teaching', the opposite of the claim's 'worse results'.",unsupported,high,"Paper says the reforms and guidelines were ""designed mainly to achieve better results in the quality, effectiveness, and efficiency of teaching"", the opposite of the claim's ""worse results"".",unsupported,high,"The paper says the reforms and guidelines were designed 'mainly to achieve better results in the quality, effectiveness, and efficiency of teaching', contradicting the claim's 'worse results'.",unsupported,True,altered,unsupported,True,False
ann-17,hss-altered-08,"The findings indicated a significant impact of stress on English language teachers’ well-being, supporting previous studies that showed the positive effects of stress on various psychological aspects (Acheson & Nelson, 2020; De Costa et al., 2020; Hall, 2017).",10.17323/jle.2021.11494,passage,unsupported,high,"The paper supports 'previous studies that showed the negative effects of stress on various psychological aspects', contradicting the claim's 'positive effects of stress'.",unsupported,high,"Paper cites previous studies showing ""the negative effects of stress on various psychological aspects"", contradicting the claim's ""positive effects of stress"".",unsupported,high,"The paper cites prior studies showing 'the negative effects of stress on various psychological aspects', contradicting the claim's 'positive effects of stress'.",unsupported,True,altered,unsupported,True,False
ann-18,hss-wrong_paper-07,"Authority of teacher feedback, according to the participants, indicated a sense of irresistibility and undoubtedness.",10.18806/tesl.v36i1.1301,no_match,unsupported,high,"The cited Burton and Rajendram (2019) translanguaging paper returns 0 hits for 'irresistib', 'undoubted' and 'teacher feedback', so it does not address the claimed authority of teacher feedback.",unsupported,high,"Passage is ""No matching passage found in the cited paper""; the cached Burton and Rajendram translanguaging paper returns zero hits for ""teacher feedback"" and for ""irresistib""/""undoubted"", so the citation does not support the claim.",unsupported,high,"The passage says 'No matching passage found' and the cited translanguaging paper's cached text contains no 'irresistibility', 'undoubtedness' or 'Authority of teacher feedback', so the citation does not address the claim.",unsupported,True,wrong_paper,unsupported,True,False
ann-19,hss-paraphrase-04,"Moreover, the result demonstrated that instructors’ information and data literacy could positively predict instructors’ subjective norms.",10.29140/jaltcall.v18n2.632,passage,verified,medium,"The paper states 'the result showed that teachers' information and data literacy could positively predict teachers' subjective norms', which supports the claim; 'instructors' and 'teachers' name the same university teachers here.",verified,high,"Paper reads ""the result showed that teachers' information and data literacy could positively predict teachers' subjective norms"", the same finding with ""teachers""/""instructors"" and ""showed""/""demonstrated"".",verified,high,"The passage states 'teachers' information and data literacy could positively predict teachers' subjective norms', which supports the claim with only 'instructors' substituted for 'teachers'.",verified,True,paraphrase,verified,True,False
ann-20,hss-over_specified-10,"The students with a low overall GPA (2.5-3.4) revealed somewhat different preferences in their strategy usage, using eye-tracking software.",10.17323/jle.2021.10771,passage,needs_nuance,high,"The paper contains 'The students with a low overall GPA (2.5-3.4) revealed somewhat different preferences in their strategy usage' but 0 hits for 'eye-track', so the claim's added instrument 'using eye-tracking software' is not stated by the cited paper.",needs_nuance,high,"The sentence about students with ""a low overall GPA (2.5-3.4)"" matches the paper, but the added instrument ""using eye-tracking software"" is not stated anywhere in the cached paper, where ""eye.?track"" has zero hits.",needs_nuance,high,"The paper contains 'The students with a low overall GPA (2.5-3.4) revealed somewhat different preferences in their strategy usage' verbatim, but a search of its cached text returns no hit for 'eye-track', so the claim's added instrument 'using eye-tracking software' is not stated by the cited paper.",needs_nuance,True,over_specified,needs_nuance,True,False
ann-21,hss-over_specified-05,"Examples of the use of such approaches can be found in research projects carried out in the Languages School at Universidad de Antioquia or the Faculty of Human Sciences at Universidad Nacional de Colombia, in a bilingual classroom.",10.14483/22487085.17087,passage,needs_nuance,high,"The paper's sentence ends at 'the Faculty of Human Sciences at Universidad Nacional de Colombia' and it has 0 hits for 'bilingual class', so the claim's added setting 'in a bilingual classroom' is not stated by the cited paper.",needs_nuance,high,"The paper contains the sentence verbatim through ""Universidad Nacional de Colombia"", but the added setting ""in a bilingual classroom"" is absent, with zero hits for ""bilingual"" in the cached text.",needs_nuance,high,"The paper's sentence ends at 'Universidad Nacional de Colombia' and its cached text has no occurrence of 'bilingual classroom', so the claim's added setting is not stated by the cited paper.",needs_nuance,True,over_specified,needs_nuance,True,False
ann-22,hss-altered-18,"Although the College has historically functioned as a community college, the SOE is part of a 5-year baccalaureate degree program in which students earn a number of teaching endorsements, including English for Speakers of Other Languages (ESOL).",10.55593/ej.25100a3,passage,unsupported,high,"The paper says the SOE 'is part of a 4-year baccalaureate degree program', not the claim's '5-year baccalaureate degree program'.",unsupported,high,"Paper says the SOE is part of ""a 4-year baccalaureate degree program"", not the claim's ""5-year"" program.",unsupported,high,"The paper describes 'a 4-year baccalaureate degree program', contradicting the claim's '5-year baccalaureate degree program'.",unsupported,True,altered,unsupported,True,False
ann-23,hss-no_full_text-06,"However, concerning comparative results, it was found that the difference is higher in DI group than control group.",10.32601/ejal.776002,withheld,no_full_text,high,The item shows the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path for it.,no_full_text,high,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", and no cached path is listed for it.",no_full_text,high,The row carries the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path.,no_full_text,True,no_full_text,no_full_text,True,False
ann-24,hss-verbatim-02,The rest of the options show a lack of significant differences between the groups with p-values >.05 and very small effect size values.,10.32601/ejal.911245,passage,verified,high,"The passage repeats the claim verbatim, including 'p-values >.05 and very small effect size values'.",verified,high,"The passage repeats the claim word for word, including ""p-values >.05 and very small effect size values"".",verified,high,"The passage repeats the claim word for word, including 'p-values >.05 and very small effect size values'.",verified,True,verbatim,verified,True,False
ann-25,hss-over_specified-02,"We decided to exclude articles that did not report results of a research study or that had limitations in terms of providing accurate information about data collection, data analysis, participants, or other essential components of the research process, using a mobile application.",10.14483/22487085.12966,passage,needs_nuance,high,"The exclusion sentence appears verbatim in the paper but 'mobile app' returns 0 hits there, so the claim's added detail 'using a mobile application' is not stated by the cited paper.",needs_nuance,high,"The exclusion criteria sentence matches the paper exactly, but the added instrument ""using a mobile application"" does not appear in the cached paper, where ""mobile"" has zero hits.",needs_nuance,high,"The paper's exclusion sentence ends at 'other essential components of the research process' and its cached text has no hit for 'mobile app', so the claim's added 'using a mobile application' is not stated by the cited paper.",needs_nuance,True,over_specified,needs_nuance,True,False
ann-26,hss-verbatim-07,"However, during the course, the participants developed an intricate view of language assessment.",10.14483/22487085.14514,passage,verified,high,"The passage repeats the claim verbatim: 'However, during the course, the participants developed an intricate view of language assessment'.",verified,high,"The passage repeats the claim word for word: ""during the course, the participants developed an intricate view of language assessment"".",verified,high,"The passage repeats the claim word for word: 'during the course, the participants developed an intricate view of language assessment'.",verified,True,verbatim,verified,True,False
ann-27,hss-verbatim-05,Level two considered an analysis of the main findings or outcomes as reported in the studies to identify changes in teacher professional development associated with the implementation of specific initiatives.,10.14483/22487085.12966,passage,verified,high,"The passage repeats the claim verbatim, including 'to identify changes in teacher professional development associated with the implementation of specific initiatives'.",verified,high,"The passage repeats the claim word for word, including ""changes in teacher professional development associated with the implementation of specific initiatives"".",verified,high,"The passage repeats the claim word for word, including 'changes in teacher professional development associated with the implementation of specific initiatives'.",verified,True,verbatim,verified,True,False
ann-28,hss-altered-05,Group-level analysis revealed that learners experienced significantly lower focus and interest during tasks performed in video-chat mode than text-chat mode.,10.14746/ssllt.2022.12.1.4,passage,unsupported,high,"The paper states that learners 'experienced significantly higher focus and interest during tasks performed in video-chat mode than text-chat mode', contradicting the claim's 'significantly lower focus and interest'.",unsupported,high,"Paper reports ""significantly higher focus and interest during tasks performed in video-chat mode than text-chat mode"", the opposite of the claim's ""significantly lower focus and interest"".",unsupported,high,"The paper reports 'significantly higher focus and interest during tasks performed in video-chat mode than text-chat mode', the reverse of the claim's 'significantly lower focus and interest'.",unsupported,True,altered,unsupported,True,False
ann-29,hss-paraphrase-05,"According to her experience, ChatGPT provides creative and easy solutions for children in the classroom, something that is not commonly observed in textbooks.",10.29140/tltl.v6n1.1142,passage,verified,high,"The paper's 'something that is not commonly found in textbooks' supports the claim's 'not commonly observed in textbooks', the rest of the sentence being identical.",verified,high,"Paper reads ""something that is not commonly found in textbooks"", the same statement with ""found"" for ""observed"".",verified,high,"The passage says ChatGPT provides 'creative and easy solutions for children in the classroom, something that is not commonly found in textbooks', which supports the claim with only 'observed' for 'found'.",verified,True,paraphrase,verified,True,False
ann-30,hss-over_specified-03,"Most of the participants reported that they had enrolled in the English Language teacher education program because of their interest in learning English, using a mobile application.",10.14483/22487085.14086,passage,needs_nuance,high,"The paper contains 'Most of the participants reported that they had enrolled in the English Language teacher education program because of their interest in learning English' but 0 hits for 'mobile app', so the claim's added 'using a mobile application' is not stated.",needs_nuance,high,"The sentence about enrolling ""because of their interest in learning English"" is in the paper verbatim, but the added instrument ""using a mobile application"" is absent, with zero hits for ""mobile"" in the cached text.",needs_nuance,high,"The paper's sentence ends at 'because of their interest in learning English' and its cached text has no hit for 'mobile app', so the claim's added 'using a mobile application' is not stated by the cited paper.",needs_nuance,True,over_specified,needs_nuance,True,False
ann-31,hss-over_specified-04,"Interestingly, we found evidence to suggest that materials used in designing language assessments were a pivotal factor that influences the pre-service teachers’ enterprise of design, using a mobile application.",10.14483/22487085.14514,passage,needs_nuance,high,"The paper contains 'materials used in designing language assessments were a pivotal factor that influences the pre-service teachers' enterprise of design' but 0 hits for 'mobile app', so the claim's added 'using a mobile application' is not stated.",needs_nuance,high,"The sentence on materials as ""a pivotal factor that influences the pre-service teachers' enterprise of design"" is in the paper verbatim, but the added instrument ""using a mobile application"" is absent, with zero hits for ""mobile"" in the cached text.",needs_nuance,high,"The paper's sentence ends at ""the pre-service teachers' enterprise of design"" and its cached text has no hit for 'mobile app' or 'smartphone', so the claim's added 'using a mobile application' is not stated by the cited paper.",needs_nuance,True,over_specified,needs_nuance,True,False
ann-32,hss-paraphrase-06,"Revisions of both categories were deemed unnecessary by the coders in two thirds of the cases, nevertheless, cohesion revision led to improvement in four out of five cases, whereas structural changes did so only for 45%.",10.29140/tltl.v6n1.1168,passage,verified,high,"The passage matches the claim apart from 'however' for 'nevertheless', including 'cohesion revision led to improvement in four out of five cases, whereas structural changes did so only for 45%'.",verified,high,"Paper reads ""cohesion revision led to improvement in four out of five cases, whereas structural changes did so only for 45%"", identical apart from ""however"" for ""nevertheless"".",verified,high,"The passage matches the claim except for 'however' where the claim has 'nevertheless', and it carries the same figures 'four out of five cases' and 'only for 45%'.",verified,True,paraphrase,verified,True,False
ann-33,hss-no_full_text-08,"As such, these TCs show the baby steps typical of developing a translanguaging stance (Menken & Sánchez, 2019).",10.55593/ej.25100a3,withheld,no_full_text,high,The item shows the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path for it.,no_full_text,high,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", and no cached path is listed for it.",no_full_text,high,The row carries the marker 'Evidence withheld: no passage or paper text is available for this item' and the index lists no path.,no_full_text,True,no_full_text,no_full_text,True,False
ann-34,hss-altered-17,"Contrary to laudable prior research findings, the minority of participants considered online review ineffective.",10.32601/ejal.911245,passage,unsupported,high,"The paper reads 'the majority of participants considered online review ineffective', contradicting the claim's 'the minority of participants'.",unsupported,high,"Paper says ""the majority of participants considered online review ineffective"", contradicting the claim's ""minority of participants"".",unsupported,high,"The paper says 'the majority of participants considered online review ineffective', contradicting the claim's 'the minority of participants'.",unsupported,True,altered,unsupported,True,False
ann-35,hss-paraphrase-01,"Among the demographic variables, only gender indicated a significant difference between English language instructors, with women scoring higher on the PERMA scale than men.",10.17323/jle.2021.11494,passage,verified,medium,"The paper states 'only gender indicated a significant difference between English language teachers, with women scoring higher on the PERMA scale than men', which supports the claim; 'instructors' names the same university teachers.",verified,high,"Paper reads ""only gender indicated a significant difference between English language teachers, with women scoring higher on the PERMA scale than men"", the same finding with ""teachers"" for ""instructors"".",verified,high,"The passage states that 'only gender indicated a significant difference between English language teachers, with women scoring higher on the PERMA scale than men', which supports the claim with only 'instructors' substituted for 'teachers'.",verified,True,paraphrase,verified,True,False
ann-36,hss-altered-01,"The data rarely shows that, before the course, the participants thought that language assessment was about grades and/or tests.",10.14483/22487085.14514,passage,unsupported,high,"The paper says 'The data frequently shows that, before the course, the participants thought that language assessment was about grades and/or tests', contradicting the claim's 'The data rarely shows'.",unsupported,high,"Paper says ""The data frequently shows that, before the course, the participants thought that language assessment was about grades and/or tests"", contradicting the claim's ""The data rarely shows"".",unsupported,high,"The paper says 'The data frequently shows that, before the course, the participants thought that language assessment was about grades and/or tests', contradicting the claim's 'The data rarely shows'.",unsupported,True,altered,unsupported,True,False
ann-37,hss-over_specified-06,"It reports a study which examined the changes in the levels of boredom experienced by 13 English majors in four EFL classes and the factors accounting for such changes, using eye-tracking software.",10.14746/ssllt.2021.11.1.2,passage,needs_nuance,high,"The paper contains the sentence about '13 English majors in four EFL classes' and lists its sources as 'boredom grids, narratives, interviews, class evaluations' with 0 hits for 'eye-track', so the claim's added 'using eye-tracking software' is not stated.",needs_nuance,high,"The sentence about ""13 English majors in four EFL classes"" appears in the paper verbatim, but the added instrument ""using eye-tracking software"" is absent; eye-tracking has zero hits and the paper lists ""boredom grids, narratives, interviews, class evaluations"" as its data sources.",needs_nuance,high,"The paper states verbatim that it 'examined the changes in the levels of boredom experienced by 13 English majors in four EFL classes', and lists its sources as 'boredom grids, narratives, interviews, class evaluations and lesson plans' with no hit anywhere for 'eye-track', so the claim's added instrument is not stated by the cited paper.",needs_nuance,True,over_specified,needs_nuance,True,False
ann-38,hss-verbatim-06,"All of the participants highly stressed the importance of being fully competent in the language, to know about the language, and to know effective language teaching strategies.",10.14483/22487085.14086,passage,verified,high,"The passage repeats the claim verbatim, including 'the importance of being fully competent in the language, to know about the language, and to know effective language teaching strategies'.",verified,high,"The passage repeats the claim word for word, including ""to know about the language, and to know effective language teaching strategies"".",verified,high,"The passage repeats the claim word for word, including 'the importance of being fully competent in the language'.",verified,True,verbatim,verified,True,False
ann-39,hss-altered-03,"The motivation of bored students is higher since they are disengaged from school subjects or tasks, which results in their inability to concentrate or simply manifest interest and joy (Pekrun & Linnenbrink-Garcia, 2012).",10.14746/ssllt.2021.11.1.2,passage,unsupported,high,"The paper states 'The motivation of bored students is lower since they are disengaged from school subjects or tasks', contradicting the claim's 'is higher'.",unsupported,high,"Paper says ""The motivation of bored students is lower since they are disengaged from school subjects or tasks"", the opposite of the claim's ""higher"".",unsupported,high,"The paper says 'The motivation of bored students is lower', contradicting the claim's 'The motivation of bored students is higher'.",unsupported,True,altered,unsupported,True,False
ann-40,hss-altered-09,"It is worth mentioning the four participants were selected from a pool of 32 students, which indicates their anonymous reviews were not typically from each other.",10.17323/jle.2022.15962,passage,unsupported,high,"The paper says the four participants 'were selected from a pool of 23 students', not the claim's 'pool of 32 students'.",unsupported,high,"Paper says the four participants were selected ""from a pool of 23 students"", not the claim's ""pool of 32 students"".",unsupported,high,"The paper says the four participants 'were selected from a pool of 23 students', contradicting the claim's 'a pool of 32 students'.",unsupported,True,altered,unsupported,True,False
ann-41,hss-over_specified-09,"In these studies, we found that interaction in the form of group tasks with student-student interaction only rarely took place, among heritage speakers.",10.17011/apples/urn.201903251959,passage,needs_nuance,high,"The sentence 'In these studies, we found that interaction in the form of group tasks with student-student interaction only rarely took place' appears verbatim but 'heritage' returns 0 hits, so the claim's added population 'among heritage speakers' is not stated.",needs_nuance,high,"The sentence ""interaction in the form of group tasks with student-student interaction only rarely took place"" is in the paper verbatim, but the added population ""among heritage speakers"" is absent, with zero hits for ""heritage"" in the cached text.",needs_nuance,high,"The paper's sentence ends at 'only rarely took place' and its cached text contains no occurrence of 'heritage', so the claim's added population 'among heritage speakers' is not stated by the cited paper.",needs_nuance,True,over_specified,needs_nuance,True,False
ann-42,hss-over_specified-08,"A content analysis of 32 interviews revealed four factors that accounted for changes in engagement during tasks: task design (e.g., task familiarity), task process (e.g., instances of collaboration), task condition (e.g., communication mode), and learner factors (e.g., perceptions of proficiency), among heritage speakers.",10.14746/ssllt.2022.12.1.4,passage,needs_nuance,high,"The four-factor sentence appears verbatim in the paper but 'heritage' returns 0 hits there, so the claim's added population 'among heritage speakers' is not stated by the cited paper.",needs_nuance,high,"The sentence ""A content analysis of 32 interviews revealed four factors"" and its four listed factors appear verbatim, but the added population ""among heritage speakers"" is absent, with zero hits for ""heritage"" in the cached text.",needs_nuance,high,"The paper's sentence ends at 'learner factors (e.g., perceptions of proficiency)' and its cached text contains no occurrence of 'heritage', so the claim's added population 'among heritage speakers' is not stated by the cited paper.",needs_nuance,True,over_specified,needs_nuance,True,False
ann-43,hss-wrong_paper-06,"Their perception of stress was positively and significantly correlated with the number of stressors (r = .397, p < .003), with those who reported higher levels of stress appearing to have a larger number of stressors.",10.17323/jle.2022.15962,no_match,unsupported,high,"The cited Gao and Wang (2022) peer review paper returns 0 hits for 'stressor', 'perception of stress' and '.397', so it does not address the claimed correlation between perceived stress and number of stressors.",unsupported,high,"Passage is ""No matching passage found in the cited paper""; the cached Gao and Wang peer review paper returns zero hits for ""stressor"" and ""perception of stress"", so it does not address the claimed correlation.",unsupported,high,"The passage says 'No matching passage found' and the cited peer review paper's cached text contains no 'stressor', 'perception of stress' or 'r = .397', so the citation does not address the claim.",unsupported,True,wrong_paper,unsupported,True,False
ann-44,hss-verbatim-04,"With regard to how GELT can be added to such a classroom, two general paths seem to be possible.",10.55593/ej.26103a1,passage,verified,high,"The passage repeats the claim verbatim: 'With regard to how GELT can be added to such a classroom, two general paths seem to be possible'.",verified,high,"The passage repeats the claim word for word: ""two general paths seem to be possible"".",verified,high,"The passage repeats the claim word for word: 'With regard to how GELT can be added to such a classroom, two general paths seem to be possible'.",verified,True,verbatim,verified,True,False
ann-45,hss-wrong_paper-03,"However, she also speculated that text-chat might benefit lower proficiency learners because of the slower pace of interaction and the visual aspect of text-chat output.",10.17011/apples/urn.201903251959,no_match,unsupported,high,"The cited Wedin and Shaswar (2019) paper returns 0 hits for 'text-chat', 'proficiency learners' and 'speculated', so it does not address the claim about text-chat benefiting lower proficiency learners.",unsupported,high,"Passage is ""No matching passage found in the cited paper""; the cached Wedin and Shaswar classroom study returns zero hits for ""text-chat"" and ""lower proficiency"", so the citation does not support the claim.",unsupported,high,"The passage says 'No matching passage found' and the cited whole class interaction paper's cached text contains no 'text-chat', 'slower pace' or 'proficiency learners', so the citation does not address the claim.",unsupported,True,wrong_paper,unsupported,True,False
