ann_id,item_id,final_label,source,rationale,evidence_mode,construction_category,expected_label,agrees_with_construction,countersigned_by,countersigned_at
ann-11,hss-altered-13,unsupported,unanimous,"The cited paper reads ""Still, 65% of all revisions were successful, amounting up to 86% in the collaborative context that led to improvement of the text."" The claim writes ""89%"" where the paper writes ""65%"", so the paper states a different value for the same entity and the same measure and contradicts the claim.",passage,altered,unsupported,True,,
ann-12,hss-altered-11,unsupported,unanimous,"The cited paper reads ""Cronbach’s alpha for all research structures has been calculated, and it is found that the composite reliability and Cronbach’s alpha values for all variables are above 0.7 and show the appropriate reliability of the model."" The claim writes ""1.0"" where the paper writes ""0.7"", so the paper states a different value for the same entity and the same measure and contradicts the claim.",passage,altered,unsupported,True,,
ann-13,hss-paraphrase-02,verified,unanimous,"The cited paper reads ""We found the primary feature or advantage of the peer review process was the sense of empathy and resonance generated from the participants’ reading of the reviewed writings."" The claim differs only in ""observed"" for ""found"", which does not change what the sentence asserts, so the paper supports the claim as stated.",passage,paraphrase,verified,True,,
ann-14,hss-wrong_paper-04,unsupported,unanimous,"The cited paper is ""Exploring the Relationship Between Language Learning Strategies, Academic Achievement, Grade Level, and Gender"". Its cached text contains no occurrence of ""transcrib"", ""whole class interaction"", ""negotiation of meaning"" or ""communicative role"", and its closest sentence, ""On the other hand, indirect language learning strategies are grouped into affective (related to the ability to identify feelings and discuss them, as well as to the use of positive self-encouragement), metacognitive (which include good management of the learning process through planning tasks and evaluating accomplishments, etc.), and social strategies (which involve an interaction with other students as a significant component of the learning process through asking for help or clarification) (Oxford, 1990; 2003)."", shares 18% of the claim's content words and is about a different subject. The cited paper does not state the claim, so the citation does not support it.",no_match,wrong_paper,unsupported,True,,
ann-15,hss-no_full_text-07,no_full_text,unanimous,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", and source_texts_index_v3.json lists no path for it, so neither a passage nor the paper text was available to the sessions. All three abstained, which is the response the rubric requires whenever evidence is withheld, however plausible the claim sounds.",withheld,no_full_text,no_full_text,True,,
ann-16,hss-altered-02,unsupported,unanimous,"The cited paper reads ""By the same token, there have been studies of the curricular bases of reforms and guidelines designed mainly to achieve better results in the quality, effectiveness, and efficiency of teaching."" The claim writes ""worse"" where the paper writes ""better"", so the paper states a different direction for the same entity and the same measure and contradicts the claim.",passage,altered,unsupported,True,,
ann-17,hss-altered-08,unsupported,unanimous,"The cited paper reads ""The findings indicated a significant impact of stress on English language teachers’ well-being, supporting previous studies that showed the negative effects of stress on various psychological aspects (Acheson & Nelson, 2020; De Costa et al., 2020; Hall, 2017)."" The claim writes ""positive"" where the paper writes ""negative"", so the paper states a different polarity for the same entity and the same measure and contradicts the claim.",passage,altered,unsupported,True,,
ann-18,hss-wrong_paper-07,unsupported,unanimous,"The cited paper is ""Translanguaging-as-Resource: University ESL Instructors’ Language Orientations and Attitudes Toward Translanguaging"". Its cached text contains no occurrence of ""irresistib"", ""undoubted"" or ""authority of teacher feedback"", and its closest sentence, ""According to García, Johnson, and Selĵ er (2017), the speciﬁ c core components of a translanguaging pedagogy include (a) a trans- languaging stance, which is the belief that the diverse language practices of TESL CANADA JOURNAL/REVUE TESL DU CANADA 25 VOLUME 36, ISSUE 1, 2019 students are valuable resources that should be used in the classroom; (b) a translanguaging design, which involves the design of strategic plans (e.g., lesson plans, assessments) that are informed by students’ diverse language practices; and (c) translanguaging shifts, which require the ability to make moment-by-moment changes to the lessons according to students’ needs."", shares 11% of the claim's content words and is about a different subject. The cited paper does not state the claim, so the citation does not support it.",no_match,wrong_paper,unsupported,True,,
ann-19,hss-paraphrase-04,verified,unanimous,"The cited paper reads ""Furthermore, the result showed that teachers’ information and data literacy could positively predict teachers’ subjective norms."" The claim differs only in ""Moreover,"" for ""Furthermore,""; ""demonstrated"" for ""showed""; ""instructors'"" for ""teachers'""; ""instructors'"" for ""teachers'"", none of which changes what the sentence asserts, so the paper supports the claim as stated.",passage,paraphrase,verified,True,,
ann-20,hss-over_specified-10,needs_nuance,unanimous,"The cited paper states ""The students with a low overall GPA (2.5-3.4) revealed somewhat different preferences in their strategy usage."" That sentence supports the claim's main finding. The claim also adds ""using eye-tracking software"", and the cached text of the cited paper contains no occurrence of ""tracking"", ""eye-tracking"" or ""software"", so the added detail is not stated by the paper.",passage,over_specified,needs_nuance,True,,
ann-21,hss-over_specified-05,needs_nuance,unanimous,"The cited paper states ""Examples of the use of such approaches can be found in research projects carried out in the Languages School at Universidad de Antioquia or the Faculty of Human Sciences at Universidad Nacional de Colombia."" That sentence supports the claim's main finding. The claim also adds ""in a bilingual classroom"", and the cached text of the cited paper contains no occurrence of ""bilingual"" or ""classroom"", so the added detail is not stated by the paper.",passage,over_specified,needs_nuance,True,,
ann-22,hss-altered-18,unsupported,unanimous,"The cited paper reads ""Although the College has historically functioned as a community college, the SOE is part of a 4-year baccalaureate degree program in which students earn a number of teaching endorsements, including English for Speakers of Other Languages (ESOL)."" The claim writes ""5-year"" where the paper writes ""4-year"", so the paper states a different value for the same entity and the same measure and contradicts the claim.",passage,altered,unsupported,True,,
ann-23,hss-no_full_text-06,no_full_text,unanimous,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", and source_texts_index_v3.json lists no path for it, so neither a passage nor the paper text was available to the sessions. All three abstained, which is the response the rubric requires whenever evidence is withheld, however plausible the claim sounds.",withheld,no_full_text,no_full_text,True,,
ann-24,hss-verbatim-02,verified,unanimous,"The cited paper contains the sentence verbatim: ""The rest of the options show a lack of significant differences between the groups with p-values >.05 and very small effect size values."" The claim reproduces it word for word, so the paper states the claim as written.",passage,verbatim,verified,True,,
ann-25,hss-over_specified-02,needs_nuance,unanimous,"The cited paper states ""We decided to exclude articles that did not report results of a research study or that had limitations in terms of providing accurate information about data collection, data analysis, participants, or other essential components of the research process."" That sentence supports the claim's main finding. The claim also adds ""using a mobile application"", and the cached text of the cited paper contains no occurrence of ""mobile"" or ""application"", so the added detail is not stated by the paper.",passage,over_specified,needs_nuance,True,,
ann-26,hss-verbatim-07,verified,unanimous,"The cited paper contains the sentence verbatim: ""However, during the course, the participants developed an intricate view of language assessment."" The claim reproduces it word for word, so the paper states the claim as written.",passage,verbatim,verified,True,,
ann-27,hss-verbatim-05,verified,unanimous,"The cited paper contains the sentence verbatim: ""Level two considered an analysis of the main findings or outcomes as reported in the studies to identify changes in teacher professional development associated with the implementation of specific initiatives."" The claim reproduces it word for word, so the paper states the claim as written.",passage,verbatim,verified,True,,
ann-28,hss-altered-05,unsupported,unanimous,"The cited paper reads ""Group-level analysis revealed that learners experienced significantly higher focus and interest during tasks performed in video-chat mode than text-chat mode."" The claim writes ""lower"" where the paper writes ""higher"", so the paper states a different direction for the same entity and the same measure and contradicts the claim.",passage,altered,unsupported,True,,
ann-29,hss-paraphrase-05,verified,unanimous,"The cited paper reads ""According to her experience, ChatGPT provides creative and easy solutions for children in the classroom, something that is not commonly found in textbooks."" The claim differs only in ""observed"" for ""found"", which does not change what the sentence asserts, so the paper supports the claim as stated.",passage,paraphrase,verified,True,,
ann-30,hss-over_specified-03,needs_nuance,unanimous,"The cited paper states ""Most of the participants reported that they had enrolled in the English Language teacher education program because of their interest in learning English."" That sentence supports the claim's main finding. The claim also adds ""using a mobile application"", and the cached text of the cited paper contains no occurrence of ""mobile"" or ""application"", so the added detail is not stated by the paper.",passage,over_specified,needs_nuance,True,,
ann-31,hss-over_specified-04,needs_nuance,unanimous,"The cited paper states ""Interestingly, we found evidence to suggest that materials used in designing language assessments were a pivotal factor that influences the pre-service teachers’ enterprise of design."" That sentence supports the claim's main finding. The claim also adds ""using a mobile application"", and the cached text of the cited paper contains no occurrence of ""mobile"" or ""application"", so the added detail is not stated by the paper.",passage,over_specified,needs_nuance,True,,
ann-32,hss-paraphrase-06,verified,unanimous,"The cited paper reads ""Revisions of both categories were deemed unnecessary by the coders in two thirds of the cases, however, cohesion revision led to improvement in four out of five cases, whereas structural changes did so only for 45%."" The claim differs only in ""nevertheless,"" for ""however,"", which does not change what the sentence asserts, so the paper supports the claim as stated.",passage,paraphrase,verified,True,,
ann-33,hss-no_full_text-08,no_full_text,unanimous,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", and source_texts_index_v3.json lists no path for it, so neither a passage nor the paper text was available to the sessions. All three abstained, which is the response the rubric requires whenever evidence is withheld, however plausible the claim sounds.",withheld,no_full_text,no_full_text,True,,
ann-34,hss-altered-17,unsupported,unanimous,"The cited paper reads ""Contrary to laudable prior research findings, the majority of participants considered online review ineffective."" The claim writes ""minority"" where the paper writes ""majority"", so the paper states a different quantifier for the same entity and the same measure and contradicts the claim.",passage,altered,unsupported,True,,
ann-35,hss-paraphrase-01,verified,unanimous,"The cited paper reads ""Among the demographic variables, only gender indicated a significant difference between English language teachers, with women scoring higher on the PERMA scale than men."" The claim differs only in ""instructors,"" for ""teachers,"", which does not change what the sentence asserts, so the paper supports the claim as stated.",passage,paraphrase,verified,True,,
ann-36,hss-altered-01,unsupported,unanimous,"The cited paper reads ""The data frequently shows that, before the course, the participants thought that language assessment was about grades and/or tests."" The claim writes ""rarely"" where the paper writes ""frequently"", so the paper states a different quantifier for the same entity and the same measure and contradicts the claim.",passage,altered,unsupported,True,,
ann-37,hss-over_specified-06,needs_nuance,unanimous,"The cited paper states ""It reports a study which examined the changes in the levels of boredom experienced by 13 English majors in four EFL classes and the factors accounting for such changes."" That sentence supports the claim's main finding. The claim also adds ""using eye-tracking software"", and the cached text of the cited paper contains no occurrence of ""eye"", ""tracking"" or ""software"", so the added detail is not stated by the paper.",passage,over_specified,needs_nuance,True,,
ann-38,hss-verbatim-06,verified,unanimous,"The cited paper contains the sentence verbatim: ""All of the participants highly stressed the importance of being fully competent in the language, to know about the language, and to know effective language teaching strategies."" The claim reproduces it word for word, so the paper states the claim as written.",passage,verbatim,verified,True,,
ann-39,hss-altered-03,unsupported,unanimous,"The cited paper reads ""The motivation of bored students is lower since they are disengaged from school subjects or tasks, which results in their inability to concentrate or simply manifest interest and joy (Pekrun & Linnenbrink-Garcia, 2012)."" The claim writes ""higher"" where the paper writes ""lower"", so the paper states a different direction for the same entity and the same measure and contradicts the claim.",passage,altered,unsupported,True,,
ann-40,hss-altered-09,unsupported,unanimous,"The cited paper reads ""It is worth mentioning the four participants were selected from a pool of 23 students, which indicates their anonymous reviews were not typically from each other."" The claim writes ""32"" where the paper writes ""23"", so the paper states a different value for the same entity and the same measure and contradicts the claim.",passage,altered,unsupported,True,,
ann-41,hss-over_specified-09,needs_nuance,unanimous,"The cited paper states ""In these studies, we found that interaction in the form of group tasks with student-student interaction only rarely took place."" That sentence supports the claim's main finding. The claim also adds ""among heritage speakers"", and the cached text of the cited paper contains no occurrence of ""heritage"" or ""speaker"", so the added detail is not stated by the paper.",passage,over_specified,needs_nuance,True,,
ann-42,hss-over_specified-08,needs_nuance,unanimous,"The cited paper states ""A content analysis of 32 interviews revealed four factors that accounted for changes in engagement during tasks: task design (e.g., task familiarity), task process (e.g., instances of collaboration), task condition (e.g., communication mode), and learner factors (e.g., perceptions of proficiency)."" That sentence supports the claim's main finding. The claim also adds ""among heritage speakers"", and the cached text of the cited paper contains no occurrence of ""heritage"", so the added detail is not stated by the paper.",passage,over_specified,needs_nuance,True,,
ann-43,hss-wrong_paper-06,unsupported,unanimous,"The cited paper is ""Towards Understanding Teacher Mentoring, Learner WCF Beliefs, and Learner Revision Practices Through Peer Review Feedback: A Sociocultural Perspective"". Its cached text contains no occurrence of ""stressor"", ""perception of stress"" or "".397"", and its closest sentence, ""When we checked the survey item that explored participants’ perception about learning from the peers’ writings, only HY reported she did learn from the reviewed writings."", shares 12% of the claim's content words and is about a different subject. The cited paper does not state the claim, so the citation does not support it.",no_match,wrong_paper,unsupported,True,,
ann-44,hss-verbatim-04,verified,unanimous,"The cited paper contains the sentence verbatim: ""With regard to how GELT can be added to such a classroom, two general paths seem to be possible."" The claim reproduces it word for word, so the paper states the claim as written.",passage,verbatim,verified,True,,
ann-45,hss-wrong_paper-03,unsupported,unanimous,"The cited paper is ""Whole class interaction in the adult L2-classroom"". Its cached text contains no occurrence of ""text-chat"", ""text chat"" or ""speculated"", and its closest sentence, ""She argued that output has a consciousness-raising function that helps learners become aware of the gaps in their interlanguage and test their hypotheses about the L2."", shares 19% of the claim's content words and is about a different subject. The cited paper does not state the claim, so the citation does not support it.",no_match,wrong_paper,unsupported,True,,
ann-46,hss-wrong_paper-02,unsupported,unanimous,"The cited paper is ""Dynamic engagement in second language computer-mediated collaborative writing tasks: Does communication mode matter?"". Its cached text contains no occurrence of ""statement"", ""representative of each factor"" or ""rated significantly higher"", and its closest sentence, ""Group-level analysis revealed that learners experienced significantly higher focus and interest during tasks performed in video-chat mode than text-chat mode."", shares 14% of the claim's content words and is about a different subject. The cited paper does not state the claim, so the citation does not support it.",no_match,wrong_paper,unsupported,True,,
ann-47,hss-wrong_paper-08,unsupported,unanimous,"The cited paper is ""The role of university teachers’ 21st-century digital competence in their attitudes toward ICT integration in higher education: Extending the theory of planned behavior"". Its cached text contains no occurrence of ""member check"" or ""transcript"", and its closest sentence, ""18 no.2 Participants The current study’s participants’ sample was selected during the emergency remote language teaching by utilizing purposeful sampling of university teach- ers to provide rich information for the study goal."", shares 17% of the claim's content words and is about a different subject. The cited paper does not state the claim, so the citation does not support it.",no_match,wrong_paper,unsupported,True,,
ann-48,hss-paraphrase-03,verified,unanimous,"The cited paper reads ""Rather, language teaching can be viewed as a dynamic process that engages students’ multiple meaning-making resources (Mazak, 2017)."" The claim differs only in ""learners'"" for ""students'"", which does not change what the sentence asserts, so the paper supports the claim as stated.",passage,paraphrase,verified,True,,
ann-49,hss-altered-07,unsupported,unanimous,"The cited paper reads ""Such findings indicate that as the students’ use of memory and affective strategies increases, their EFL achievement tends to decrease, whereas their greater use of cognitive strategies causes an increase in their EFL achievement."" The claim writes ""decreases"" where the paper writes ""increases"", so the paper states a different direction for the same entity and the same measure and contradicts the claim.",passage,altered,unsupported,True,,
ann-50,hss-altered-14,unsupported,unanimous,"The cited paper reads ""The data were analyzed descriptively; the results showed that most teachers are not satisfied with the coursebooks, crowded classes, quite limited class hours, and unmotivated students."" The claim writes ""few"" where the paper writes ""most"", so the paper states a different quantifier for the same entity and the same measure and contradicts the claim.",passage,altered,unsupported,True,,
ann-51,hss-no_full_text-02,no_full_text,unanimous,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", and source_texts_index_v3.json lists no path for it, so neither a passage nor the paper text was available to the sessions. All three abstained, which is the response the rubric requires whenever evidence is withheld, however plausible the claim sounds.",withheld,no_full_text,no_full_text,True,,
ann-52,hss-altered-10,unsupported,unanimous,"The cited paper reads ""The internationalization of higher education—driven by political, economic, and sociocultural dimensions (Maringe, 2010)—has resulted in a steady increase in the number of linguistically and culturally diverse students in Canadian educational institutions."" The claim writes ""decrease"" where the paper writes ""increase"", so the paper states a different direction for the same entity and the same measure and contradicts the claim.",passage,altered,unsupported,True,,
ann-53,hss-no_full_text-01,no_full_text,unanimous,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", and source_texts_index_v3.json lists no path for it, so neither a passage nor the paper text was available to the sessions. All three abstained, which is the response the rubric requires whenever evidence is withheld, however plausible the claim sounds.",withheld,no_full_text,no_full_text,True,,
ann-54,hss-over_specified-07,needs_nuance,unanimous,"The cited paper states ""In the present study, PQ Method (Schmolck, 2002) was employed to produce the initial by-person correlation matrix."" That sentence supports the claim's main finding. The claim also adds ""using eye-tracking software"", and the cached text of the cited paper contains no occurrence of ""eye"", ""eye-tracking"" or ""software"", so the added detail is not stated by the paper.",passage,over_specified,needs_nuance,True,,
ann-55,hss-over_specified-01,needs_nuance,unanimous,"The cited paper states ""The activities were reported useful (e.g., increased GELT awareness, positive attitudes toward GELT, and willingness to learn more about GELT) to help teachers understand GELT even though the concepts were not taught explicitly."" That sentence supports the claim's main finding. The claim also adds ""during the winter semester"", and the cached text of the cited paper contains no occurrence of ""winter"" or ""semester"", so the added detail is not stated by the paper.",passage,over_specified,needs_nuance,True,,
ann-56,hss-wrong_paper-05,unsupported,unanimous,"The cited paper is ""Well-being and the Perception of Stress among EFL University Teachers in Saudi Arabia"". Its cached text contains no occurrence of ""compensation"", ""metacognitive"" or ""insignificant"", and its closest sentence, ""Recently, research inspired by positive psychology (MacIntyre et al., 2019; Williams et al., 2016) produced a range of studies on the professional lives of teachers (Day & Gu, 2014; Hiver & Dörnyei, 2017), including the role of teachers’ emotional and social intelligences in learning processes (Elias & Arnold, 2006) and in teacher well-being (Day & Gu, 2009; Gkonou & Mercer, 2017)."", shares 29% of the claim's content words and is about a different subject. The cited paper does not state the claim, so the citation does not support it.",no_match,wrong_paper,unsupported,True,,
ann-57,hss-altered-15,unsupported,unanimous,"The cited paper reads ""A cross-genre analysis of the findings reveals that the total number of interpersonal metadiscourse features (normalized per 1000 words) is higher in BR sub-corpus (76.26) than in RA sub-corpus (44.09)."" The claim writes ""1370"" where the paper writes ""1000"", so the paper states a different value for the same entity and the same measure and contradicts the claim.",passage,altered,unsupported,True,,
ann-58,hss-verbatim-03,verified,unanimous,"The cited paper contains the sentence verbatim: ""When exposed to a perspective of dynamic bilingualism—one that visibly challenged prior experiences and beliefs—throughout their time in class, TCs began to speak of enhanced understanding of bilingualism and increased feelings of empowerment (both for themselves and others)."" The claim reproduces it word for word, so the paper states the claim as written.",passage,verbatim,verified,True,,
ann-59,hss-verbatim-01,verified,unanimous,"The cited paper contains the sentence verbatim: ""The results demonstrated a significant difference between the scores of two tests both in control and DI groups, which suggests that both traditional instruction and DI gave rise to an increment in students’ L2 overall achievement."" The claim reproduces it word for word, so the paper states the claim as written.",passage,verbatim,verified,True,,
ann-60,hss-no_full_text-05,no_full_text,unanimous,"The item shows the marker ""Evidence withheld: no passage or paper text is available for this item"", and source_texts_index_v3.json lists no path for it, so neither a passage nor the paper text was available to the sessions. All three abstained, which is the response the rubric requires whenever evidence is withheld, however plausible the claim sounds.",withheld,no_full_text,no_full_text,True,,
