ann_id,claim_text,cited_paper_title,cited_paper_doi,cited_paper_first_author_year,cited_paper_passage,annotator_label,annotator_confidence,annotator_note,annotator_name,annotated_on
ann-11,"AI cannot ever replace us in these essential aspects of our work as educators, yet it might make our work less interesting, engaging, and innovative.","Exploring Applications of ChatGPT to English Language Teaching: Opportunities, Challenges, and Recommendations",10.55593/ej.27107int,"Kostka & Toncelli, 2023","AI cannot ever replace us in these essential aspects of our work as educators, yet it might make our work more interesting, engaging, and innovative.",unsupported,high,"Paper reads 'yet it might make our work more interesting, engaging, and innovative'; the claim reverses 'more' to 'less'.",Claude Opus annotator B (round 2),2026-09-05
ann-12,Findings of MANOVA demonstrated that learners who have higher PsyCap are more willing to communicate in English in comparison to learners with lower levels of PsyCap.,"The Role of Psychological Capital in Language Learners’ Willingness to Communicate, Motivation, and Achievement",10.32601/ejal.651346,"Khajavy et al., 2019",Findings of MANOVA showed that students who have higher PsyCap are more willing to communicate in English in comparison to students with lower levels of PsyCap.,verified,high,Paper reads 'students who have higher PsyCap are more willing to communicate in English in comparison to students with lower levels'; only wording changes.,Claude Opus annotator B (round 2),2026-09-05
ann-13,"Real-time corrective feedback and predictive text are two technologies that have received very little attention in L2 research (Frankenberg-Garcia, 2019).","The Role of Psychological Capital in Language Learners’ Willingness to Communicate, Motivation, and Achievement",10.32601/ejal.651346,"Khajavy et al., 2019",No matching passage found in the cited paper (best overlap below threshold),unsupported,high,"Khajavy et al. 2019, on PsyCap and willingness to communicate, contains no instance of 'predictive text', 'corrective feedback' or 'Frankenberg-Garcia'.",Claude Opus annotator B (round 2),2026-09-05
ann-14,"In addition, Grammarly could be recommended to L2 students as a means to decrease lexical variation in their writing, as this study’s findings illustrate that lexical richness was enhanced in the Grammarly condition.",Examining the impact of Grammarly on the quality of mobile L2 writing,10.29140/jaltcall.v17n2.336,"Dizon & Gayed, 2021","In addition, Grammarly could be recommended to L2 students as a means to increase lexical variation in their writing, as this study’s findings illustrate that lexical richness was enhanced in the Grammarly condition.",unsupported,high,"Paper reads 'as a means to increase lexical variation in their writing'; the claim reverses this to 'decrease', contradicting its own clause about enhanced lexical richness.",Claude Opus annotator B (round 2),2026-09-05
ann-15,"Empirical research is also needed to investigate students’ perceptions of AI (Chan & Hu, 2023) and effective practices and models of AI implementation in English language teaching.","Exploring Applications of ChatGPT to English Language Teaching: Opportunities, Challenges, and Recommendations",10.55593/ej.27107int,"Kostka & Toncelli, 2023","Empirical research is also needed to investigate students’ perceptions of AI (Chan & Hu, 2023) and effective practices and models of AI implementation in English language teaching.",verified,high,"Paper contains the sentence verbatim: 'Empirical research is also needed to investigate students' perceptions of AI (Chan & Hu, 2023)'.",Claude Opus annotator B (round 2),2026-09-05
ann-16,The challenge of this endeavor is to find an appropriate theoretical framework within which the notion of learning experience can be interpreted.,"Towards a better understanding of the L2 Learning Experience, the Cinderella of the L2 Motivational Self System",10.14746/ssllt.2019.9.1.2,"Dörnyei, 2019",Evidence withheld: no passage or paper text is available for this item,no_full_text,high,"Item shows the marker 'Evidence withheld: no passage or paper text is available for this item', so there is nothing to judge against.",Claude Opus annotator B (round 2),2026-09-05
ann-17,A look at the distribution shows a skew towards higher values for FLE and lower values for FLCA.,Are foreign language learners’ enjoyment and anxiety specific to the teacher? An investigation into the dynamics of learners’ classroom emotions,10.14746/ssllt.2020.10.1.3,"Dewaele & Dewaele, 2020",A look at the distribution shows a skew towards higher values for FLE and lower values for FLCA.,verified,high,Paper contains verbatim: 'A look at the distribution shows a skew towards higher values for FLE and lower values for FLCA'.,Claude Opus annotator B (round 2),2026-09-05
ann-18,"Nevertheless, Matt and Joachim shared their feelings of self-doubt and incompetence which resulted from negative experiences related to their linguistic backgrounds and competencies.",Shifting from Native-Speakerism to Trans-Speakerism:  A Trioethnography of Language Teachers in Japan,10.55593/ej.27105a9,"Hiratsuka et al., 2023",Evidence withheld: no passage or paper text is available for this item,no_full_text,high,"Item shows the marker 'Evidence withheld: no passage or paper text is available for this item', so there is nothing to judge against.",Claude Opus annotator B (round 2),2026-09-05
ann-19,Brief data from the interviews and the narratives of one best fit candidate for each archetype are presented in the findings.,Tracing the signature dynamics of foreign language classroom anxiety and foreign language enjoyment: A retrodictive qualitative modeling,10.32601/ejal.710194,"SHİRVAN & TALEBZADEH, 2020",Brief data from the interviews and the narratives of one best fit candidate for each archetype are presented in the results.,verified,high,Paper reads 'the narratives of one best fit candidate for each archetype are presented in the results'; 'findings' is a synonym for that section label.,Claude Opus annotator B (round 2),2026-09-05
ann-20,"In accordance with this approach, the L2 Learning Experience can be defined as the perceived quality of the learners’ engagement with various aspects of the language learning process.","Towards a better understanding of the L2 Learning Experience, the Cinderella of the L2 Motivational Self System",10.14746/ssllt.2019.9.1.2,"Dörnyei, 2019","In accordance with this approach, the L2 Learning Experience can be defined as the perceived quality of the learners’ engagement with various aspects of the language learning process.",verified,high,Paper proposes 'the L2 Learning Experience may be defined as the perceived quality of the learners' engagement with various aspects'; 'can' matches the paper's 'may'.,Claude Opus annotator B (round 2),2026-09-05
ann-21,"Statistical analysis revealed that while FLCA was constant with both teachers, FLE was significantly lower with the Main Teacher.",Are foreign language learners’ enjoyment and anxiety specific to the teacher? An investigation into the dynamics of learners’ classroom emotions,10.14746/ssllt.2020.10.1.3,"Dewaele & Dewaele, 2020","Statistical analysis revealed that while FLCA was constant with both teachers, FLE was significantly higher with the Main Teacher.",unsupported,high,Abstract and t-test results read 'FLE was significantly higher with the Main Teacher'; the claim reverses higher to lower.,Claude Opus annotator B (round 2),2026-09-05
ann-22,The results revealed an effect size of 1.62 which can be interpreted as a large effect of the independent variable (CL) on the dependent variable (speaking skill).,The Impact of Cooperative Learning on Developing Speaking Ability and Motivation Toward Learning English,10.17323/jle.2019.9809,"Namaziandost et al., 2019",The results revealed an effect size of 0.81 which can be interpreted as a large effect of the independent variable (CL) on the dependent variable (speaking skill).,unsupported,medium,"Paper reports 'an effect size of 0.81 which can be interpreted as a large effect'; the claim doubles the value to 1.62, though the 'large effect' reading survives.",Claude Opus annotator B (round 2),2026-09-05
ann-23,"Seventeen participants (36%) reported using it to write the whole assignment for them, which is certainly a cause for concern.",Writing with AI: University Students’ Use of ChatGPT,10.17323/jle.2023.17379,"Črček & Patekar, 2023","Seventeen participants (18%) reported using it to write the whole assignment for them, which is certainly a cause for concern.",unsupported,medium,Paper reports 'Seventeen participants (18%)' for writing the whole assignment; the claim's 36% is the paper's separate figure for writing part of an assignment.,Claude Opus annotator B (round 2),2026-09-05
ann-24,"Few studies used one-on-one oral interviews with their participants to understand their decision-making process and factors influencing their decisions, which in turn is relevant to their exertion of agency.",A Systematic Review on Pedagogical Translanguaging in TESOL,10.55593/ej.26103a4,"Kim & Weng, 2022","Most studies used one-on-one oral interviews with their participants to understand their decision-making process and factors influencing their decisions, which in turn is relevant to their exertion of agency.",unsupported,high,Paper reads 'Most studies used one-on-one oral interviews with their participants'; the claim reverses 'Most' to 'Few'.,Claude Opus annotator B (round 2),2026-09-05
ann-25,Seventeen students (18%) reported that they had used ChatGPT to produce the entire assignment.,Examining the impact of Grammarly on the quality of mobile L2 writing,10.29140/jaltcall.v17n2.336,"Dizon & Gayed, 2021",No matching passage found in the cited paper (best overlap below threshold),unsupported,high,"Dizon and Gayed 2021, a Grammarly freewriting study, contains no instance of 'ChatGPT', 'Seventeen' or 'entire assignment', so it does not address the claim.",Claude Opus annotator B (round 2),2026-09-05
ann-26,"In the other five areas of integrated regulation: identified motivation, introjected regulation, external regulation, and amotivation, results of ANCOVAs showed no significant difference between the two groups.",The Impact of Cooperative Learning on Developing Speaking Ability and Motivation Toward Learning English,10.17323/jle.2019.9809,"Namaziandost et al., 2019",Evidence withheld: no passage or paper text is available for this item,no_full_text,high,"Item shows the marker 'Evidence withheld: no passage or paper text is available for this item', so there is nothing to judge against.",Claude Opus annotator B (round 2),2026-09-05
ann-27,The performance of the experimental group after being exposed to CL activities showed no significant difference between the results of the experimental and control groups.,The Impact of Cooperative Learning on Developing Speaking Ability and Motivation Toward Learning English,10.17323/jle.2019.9809,"Namaziandost et al., 2019",The performance of the experimental group after being exposed to CL activities showed a significant difference between the results of the experimental and control groups.,unsupported,high,Paper reads the experimental group 'showed a significant difference between the results of the experimental and control groups'; the claim inserts 'no'.,Claude Opus annotator B (round 2),2026-09-05
ann-28,"As a result of these biases, NESTs need to expend no significant cognitive labor on their socio-cultural and linguistic tasks compared to their NNEST colleagues.",Shifting from Native-Speakerism to Trans-Speakerism:  A Trioethnography of Language Teachers in Japan,10.55593/ej.27105a9,"Hiratsuka et al., 2023","As a result of these biases, NESTs need to expend significant cognitive labor on their socio-cultural and linguistic tasks compared to their NNEST colleagues.",unsupported,high,Paper reads 'NESTs need to expend significant cognitive labor on their socio-cultural and linguistic tasks'; the claim inserts 'no' and reverses the finding.,Claude Opus annotator B (round 2),2026-09-05
ann-29,"In the other four areas of integrated regulation, introjected regulation, external regulation, and amotivation, both t-tests and effect sizes showed no significant improvements for both the experimental group and the control group.",The Impact of Cooperative Learning on Developing Speaking Ability and Motivation Toward Learning English,10.17323/jle.2019.9809,"Namaziandost et al., 2019","In the other four areas of integrated regulation, introjected regulation, external regulation, and amotivation, both t-tests and effect sizes showed no significant improvements for both the experimental group and the control group.",verified,high,Paper contains verbatim: 'both t-tests and effect sizes showed no significant improvements for both the experimental group and the control group'.,Claude Opus annotator B (round 2),2026-09-05
ann-30,"Another finding is that in some studies situated in EFL contexts, interviews were conducted in participants‟ first languages, and later, interview transcriptions were translated into English.",Shifting from Native-Speakerism to Trans-Speakerism:  A Trioethnography of Language Teachers in Japan,10.55593/ej.27105a9,"Hiratsuka et al., 2023",No matching passage found in the cited paper (best overlap below threshold),unsupported,high,"Hiratsuka et al. 2023 is a trioethnography of three teachers, with no instance of 'translated into English' or 'transcription' and no review of EFL interview studies.",Claude Opus annotator B (round 2),2026-09-05
