ann_id,item_id,claim_text,cited_paper_doi,evidence_mode,label_A,conf_A,note_A,label_B,conf_B,note_B,label_C,conf_C,note_C,majority_label,unanimous,needs_adjudication
annr-11,real-test-16,"Similarly, Owston et al. (2019) recommended that a successful BL delivery comprises of 80% high quality online learning integrated with 20% classroom teaching that is linked to online content.",10.14742/ajet.4310,passage,unsupported,medium,"The paper compares four blended models (CLTW, CLOT, OLCT, CLHT) and recommends only ""that future research be conducted""; the sole mention of 80 per cent is a cited meta-analytic finding that ""students in courses with 60% to 80% of time spent online achieved higher"", so the 80/20 delivery recommendation is not made here.",unsupported,high,"The paper compares four blend formats and its best-rated model, Blend OLCT, had 'a weekly 2-hour online lecture' plus 'a 1-hour face-to-face tutorial', while its only recommendations are 'that future research be conducted' and 'that studies on blended learning should take into account what happens in the online and face-to-face sessions'; no 80% online and 20% classroom split is recommended anywhere.",unsupported,high,"The paper makes no 80/20 recommendation; its most preferred model ""OLCT had an equivalent of two-thirds of the course online, one third face-to-face"", and its recommendations are only that ""future research be conducted to examine student achievement in blended courses where lectures are online"".",unsupported,True,False
annr-12,real-test-13,"In one paper, the study focused on the use of the LMS, Sakai, with student engagement in online resources and found a positive correlation between online access to resources and academic achievement (Crampton et al., 2012).",10.3402/rlt.v20i0.14430,passage,verified,high,"The abstract states that ""Analysis of the web access data from the learning management system (Sakai) demonstrated that students who accessed the most resources ... achieved higher grades"", and the results give ""weak yet significant positive correlations"" of r = 0.28 to 0.40 with final grade.",verified,high,"The abstract states that 'Analysis of the web access data from the learning management system (Sakai) demonstrated that students who accessed the most resources in terms of diversity and percentage of available resources achieved higher grades', matching both the named LMS and the positive association with achievement.",verified,high,"The abstract states that ""Analysis of the web access data from the learning management system (Sakai) demonstrated that students who accessed the most resources in terms of diversity and percentage of available resources achieved higher grades"".",verified,True,False
annr-13,real-test-14,"The researchers concluded that while interest in mobile learning was high, actual deployment in course delivery was relatively low (Cavus et al., 2020).",10.3991/ijet.v15i23.18799,passage,verified,high,"The suggestions section states that ""although their perceptions about mobile technology are high, their usage rates are low"", which is the claim's high interest with low actual deployment.",verified,high,"The paper's Suggestions section states 'although their perceptions about mobile technology are high, their usage rates are low', which is exactly the high-interest, low-deployment conclusion in the claim.",verified,high,"The paper's suggestions state ""although their perceptions about mobile technology are high, their usage rates are low"", which matches the claim that interest was high while actual use in delivery was relatively low.",verified,True,False
annr-14,real-test-15,"A Palestinian study on the use of Facebook by students in an undergraduate educational technology course revealed strong acceptance of this delivery modality as an effective way to learn (Shraim, 2014).",10.3991/ijet.v9i8.3805,passage,needs_nuance,medium,"The setting matches (240 students in ""an undergraduate Educational Technology course"" at An-Najah National University), but the paper concludes only that ""A majority of students showed a positive attitude to learning via Facebook"", and reports that 60% ""expressed concerns that they were distracted"" and 54% ""found it hard to follow all the posts"", which is weaker than strong acceptance as an effective way to learn.",verified,medium,"The paper's abstract reports that 240 students at An-Najah National University in Palestine in 'an undergraduate Educational Technology course' used Facebook and that 'A majority of students showed a positive attitude to learning via Facebook', with 'Most learners (88%) found the new teaching approach using Facebook is useful to produce their knowledge with their peers'.",verified,medium,"The paper studies ""240 students from An-Najah National University, Palestine enrolled in four sections of an undergraduate Educational Technology course"" and concludes that ""A majority of students showed a positive attitude to learning via Facebook"", with ""Most learners (88%) found the new teaching approach using Facebook is useful"".",verified,False,True
annr-15,real-test-20,"For instance, Mirvahedi and Hosseini (2023) retrospectively examined a nine-year-long family language policy within an Indian-Iranian transnational family.",10.1007/s10993-023-09649-4,passage,verified,high,"The paper describes ""an Indian-Iranian transnational family with a nine-year-old daughter"" and states it is ""Examining a nine-year-long FLP in retrospect (diachronic perspective)"", matching every element of the claim.",verified,high,"The paper states it is 'Examining a nine-year-long FLP in retrospect (diachronic perspective)' drawing on 'an Indian-Iranian transnational family with a nine-year-old daughter', matching the duration, the retrospective design and the family type in the claim.",verified,high,"The paper states it is ""Examining a nine-year-long FLP in retrospect (diachronic perspective)"" in ""an Indian-Iranian transnational family"", matching the claim's duration, retrospective design and family.",verified,True,False
annr-16,real-test-24,"For example, in a problem-based curriculum, Loyens et al. (2008) found structural positive relations between Dutch students’ constructive conceptions of learning on the one hand and their use of deep processing and self-regulation strategies on the other hand.",10.1007/s11251-008-9065-6,passage,needs_nuance,medium,"The participants were ""98 third-year and fourth-year psychology students ... enrolled in a problem-based learning (PBL) curriculum at Erasmus University Rotterdam, the Netherlands"" and the abstract does report that ""structural relations exist"", but the discussion states that ""In both hypothesized models, conceptions of knowledge construction did not show significant relationships with regulation strategies"" and that conceptions of self-regulated learning had ""small, but not significant"" relations, so the specific positive links the claim names were not found.",needs_nuance,medium,"The abstract supports only the weaker statement that 'structural relations exist between conceptions of constructivist learning and regulation and processing strategies' for students 'in a constructivist, problem-based learning curriculum' at a Dutch university, but the structural models found that 'Conceptions of knowledge construction did not show any significant relationships with students' reported regulation strategies' and that 'No other conceptions of constructivist learning had significant relationships with self-regulation', so the specific positive constructive-conception link to deep processing and self-regulation is overstated.",needs_nuance,medium,"The paper reports only that ""structural relations exist between conceptions of constructivist learning and regulation and processing strategies"" in a Dutch problem-based curriculum, and in fact found that ""Conceptions of knowledge construction did not show any significant relationships with students' reported regulation strategies"", so the claimed positive structural links to deep processing and self-regulation hold at the correlational level (.41 and .23) but not in the tested models.",needs_nuance,True,False
annr-17,real-test-21,Cusi et al. (2017) investigated the design and implementation of digital resources to enhance formative assessment strategies in elementary and secondary Italian classrooms.,10.1007/s11858-017-0878-0,passage,verified,high,"The paper is a design-based study of ""how to design and implement specific digital resources that foster and activate FA strategies"", conducted ""in 36 4th, 5th, 6th and 7th-grade classes ... in northwestern Italy"" with ""primary and middle-school students"", matching the claim.",verified,high,"The paper says its project 'aims at studying how to design and implement specific digital resources that foster and activate FA strategies', and 'The experimental part was conducted in 36 4th, 5th, 6th and 7th-grade classes ... in northwestern Italy', spanning 'primary school classes (grades 4-5)' and 'lower secondary school'.",verified,high,"The paper reports that ""The experimental part was conducted in 36 4th, 5th, 6th and 7th-grade classes from three different clusters ... in northwestern Italy"", covering primary and lower secondary classrooms, and its stated topic is the ""design and implementation of digital resources"" for formative assessment.",verified,True,False
annr-18,real-test-19,"There has been at least one formal mediation analysis (Murray et al., 2016) that showed how improvements in caregiver book-sharing competence associated with training accounted for much of the improvement in child language.",10.1111/jcpp.12605,passage,needs_nuance,medium,"There is a formal mediation analysis and ""Improvements in carer behaviour during book-sharing, but not during toy play, mediated intervention effects on all infant cognitive outcomes"", but the mediated share was only ""8.97%, 15.79%, and 11.75%"" for the vocabulary outcomes, with 58.82% only for PPVT-R, so ""much of the improvement in child language"" overstates the result.",needs_nuance,medium,"The paper does report a formal mediation analysis in which 'Improvements in carer behaviour during book-sharing ... mediated intervention effects on all infant cognitive outcomes', but the mediated shares of the language effects were mostly small, with reciprocity 'mediating 8.97%, 15.79%' of the CDI outcomes and only carer sensitivity on PPVT-R 'mediating 58.82% of the effect', and the authors note 'there are significant direct effects of the intervention on some child cognitive outcomes, which remain to be explained', so 'much of the improvement' overstates the result.",needs_nuance,medium,"A formal mediation analysis exists and ""Improvements in carer behaviour during book-sharing ... mediated intervention effects on all infant cognitive outcomes"", but for the two language (CDI) outcomes reciprocity mediated only ""8.97%, 15.79% ... of the effect of the intervention"", so ""much of the improvement in child language"" holds only for the PPVT-R measure (58.82%).",needs_nuance,True,False
annr-19,real-test-04,"Fejes and Nylander (2015) undertook a bibliometric analysis on the top cited articles in Adult Education Quarterly, International Journal of Lifelong Education and Studies in Continuing Education and concluded that ‘qualitative approaches have near total dominance’.",10.3384/rela.2000-7426.rela9063,passage,verified,high,"The paper analyses ""the top cited articles"" in ""Adult Education Quarterly (AEQ) (USA), International Journal of Lifelong Education (IJLE) (UK) and Studies in Continuing Education (SICE) (Australia)"" and states in both abstract and conclusion that ""qualitative approaches have near total dominance"".",verified,high,"The paper's abstract draws on 'bibliographic data of the top cited articles in three main adult education journals between 2005 and 2012', names them as 'Adult Education Quarterly (AEQ) (USA), International Journal of Lifelong Education (IJLE) (UK) and Studies in Continuing Education (SICE) (Australia)', and concludes 'qualitative approaches have near total dominance', the exact phrase quoted.",verified,high,"The paper analysed the top cited articles in ""Adult Education Quarterly (AEQ) (USA), International Journal of Lifelong Education (IJLE) (UK) and Studies in Continuing Education (SICE) (Australia)"" and states that ""qualitative approaches have near total dominance"", the exact quoted wording.",verified,True,False
annr-20,real-test-17,The research work conducted by Chang and Wills (2013) show that there is a 15% improvement on learner’s satisfaction and performance of using the blended learning approach than using the classroom teaching approach.,10.4018/978-1-4666-3914-0.ch013,passage,needs_nuance,medium,"The paper reports that ""Two groups of cohort studies conform there is 15% improvement in learning satisfaction"", attributed to the use of Oracle software simulations for teaching, and its conclusion lists only ""an additional 15% of learning satisfaction""; student performance is never measured, so the claim adds an outcome the paper does not report.",needs_nuance,high,"The paper measured only satisfaction, stating 'Two groups of cohort studies conform there is 15% improvement in learning satisfaction' from comparing lessons with and without software simulations; no performance or attainment outcome is reported, so the claim's addition of 'and performance' is not supported.",needs_nuance,medium,"The paper's figure is about simulations, not blended versus classroom teaching, and covers satisfaction only: ""Two groups of cohort studies conform there is 15% improvement in learning satisfaction"" after adding software simulations; no 15% improvement in performance is reported.",needs_nuance,True,False
annr-21,real-test-07,"Neiva (2021) adds a focus on media literacy, pointing to the importance of critical thinking and personal engagement in interpreting and deriving significance from media messages.",10.14483/22487085.13373,passage,verified,medium,"The paper builds on media literacy, states that ""the key to becoming digitally literate is through critical thinking"", and reports that learners ""were engaged in media literacy practices, mainly when they reflected upon news through their realities, beliefs, and attitudes"" and could ""express their personal opinions"", matching the critical thinking and personal engagement emphasis.",verified,medium,"The paper is a media literacy study in which 'This information must be critically analyzed using media literacy' and learners 'reflected upon news through their realities, beliefs, and attitudes' and were helped 'to discuss messages from different media outlets, express their personal opinions', matching the critical thinking and personal engagement emphasis in the claim.",verified,medium,"The paper builds on the view that ""the key to becoming digitally literate is through critical thinking"" and reports learners engaged in media literacy ""mainly when they reflected upon news through their realities, beliefs, and attitudes"" and could ""express their personal opinions"" about media messages.",verified,True,False
annr-22,real-test-08,"For instance, for students in tertiary education, the student employment rate is around 49% in the United States (US) and 47% in Europe (Beerkens et al., 2011).",10.1007/s10734-010-9356-0,passage,verified,high,"The introduction states that ""On average, the student employment rate is around 47% in Europe"" and that ""In the United States the number of employed students ... reaches now 49% of students in the 4-year universities"", giving both figures as claimed.",verified,high,"The paper states 'On average, the student employment rate is around 47% in Europe' and 'In the United States the number of employed students has consistently increased and reaches now 49% of students in the 4-year universities', matching both figures in the claim.",verified,high,"The paper states ""On average, the student employment rate is around 47% in Europe"" and that in the United States employment ""reaches now 49% of students in the 4-year universities"", matching both figures in the claim.",verified,True,False
annr-23,real-test-22,Paas and van Merriënboer (1994) conducted a comprehensive overview of factors determining the level of cognitive load and identified age as one of the causal factors.,10.1007/bf02213420,passage,needs_nuance,medium,"The paper does give an overview of causal factors, listing task characteristics such as ""task novelty, time pressure, and reward systems"" and subject characteristics such as ""cognitive capabilities, cognitive style, preferences, and prior knowledge"", but the word age never appears anywhere in the text, so age as a causal factor is a detail the cited paper does not state.",needs_nuance,medium,"The paper does give an overview of the causes of cognitive load, listing 'causal factors' that 'may refer to characteristics of the task ..., to characteristics of the subject performing the task, or to interactions between both', but the subject characteristics it names are 'subjects' cognitive capabilities, cognitive style, preferences, and prior knowledge' and the word age does not occur anywhere in the paper, so age is not identified as a causal factor.",needs_nuance,medium,"The paper does present an overview of the ""causal factors"" of cognitive load, but lists them as task and environmental characteristics, subject characteristics such as ""cognitive capabilities, cognitive style, preferences, and prior knowledge"", and interactions; age is never mentioned as a causal factor.",needs_nuance,True,False
annr-24,real-test-10,"In addition, Bourbour et al. (2020) found through an observational study that preschool teachers use interactive whiteboards for teaching activities such as measuring, classifying, and sequencing, and that interactive whiteboards can play an active role in teachers’ scaffolding behaviors.",10.1007/s10643-019-00971-3,passage,verified,medium,"The study video observed ""Five preschool teachers and 22 children aged 4-6"", and the discussion reports that ""preschool teachers participate in the activities on IWB and take an active role, to teach valuable features of measurement, classification, value of money as well as numbers and order"", covering measuring, classifying and ordering and the IWB's role in scaffolding actions.",verified,medium,"The paper is a video observation study of five preschool teachers, and its discussion says preschool teachers 'participate in the activities on IWB and take an active role, to teach valuable features of measurement, classification, value of money as well as numbers and order', with the reported scaffolding actions arising in that IWB context.",verified,medium,"The paper video observed ""Five preschool teachers and 22 children aged 4-6"" in activities on measurement, ""Classification of Geometrical Forms"" and ordering, and concludes that teachers ""participate in the activities on IWB and take an active role, to teach valuable features of measurement, classification, value of money as well as numbers and order"" within scaffolding functions.",verified,True,False
annr-25,real-test-09,"For instance, English as a Foreign Language (EFL) teachers in Indonesia had mostly integrated ICT at the substitution and augmentation levels, not fully exploiting its transformative potential (Budiman et al., 2018).",10.23917/humaniora.v19i2.6809,passage,needs_nuance,high,"The finding is real but is from ""a case study on an individual teacher"": the abstract says ""the teacher is still on the substitution and augmentation stages in integrating ICT and hardly achieves modification and redefinition stages"", so generalising to EFL teachers in Indonesia overstates a single-teacher case study.",needs_nuance,high,"The paper is explicitly a single-teacher study, 'a case study on an individual teacher was used in this research', and reports that 'the teacher is still on the substitution and augmentation stages in integrating ICT and hardly achieves modification and redefinition stages', so generalising this to EFL teachers in Indonesia goes beyond what the paper supports.",needs_nuance,high,"The finding is about a single teacher in one school, not Indonesian EFL teachers generally: ""the teacher is still on the substitution and augmentation stages in integrating ICT and hardly achieves modification and redefinition stages"", with one purposively selected participant.",needs_nuance,True,False
annr-26,real-test-02,"Four teacher profiles (Carefree, Pragmatic, Uncertain and Worried) were identified by de Vocht and Laherto (2017) based on how open and positive the teachers feel about innovations.",10.30935/scimath/9511,passage,verified,medium,"The abstract states ""Using cluster analysis we found four concern profile types: the Carefree, the Pragmatic, the Uncertain and the Worried"", and the results refer to ""the two positive profile types, the Carefree and the Pragmatic"" with ""relatively high positive interests"", matching the four names and the openness-and-positivity basis.",verified,medium,"The abstract states 'Using cluster analysis we found four concern profile types: the Carefree, the Pragmatic, the Uncertain and the Worried', derived from teachers' concerns and interests about an educational innovation, with 'the two positive profile types, the Carefree and the Pragmatic' being the more positively inclined.",verified,medium,"The paper states ""Using cluster analysis we found four concern profile types: the Carefree, the Pragmatic, the Uncertain and the Worried"", grouped by teachers' concerns and interests about the RRI innovation, with the Carefree and Pragmatic having ""relatively high positive interests"".",verified,True,False
