ann_id,claim_text,cited_paper_title,cited_paper_doi,cited_paper_first_author_year,cited_paper_passage,annotator_label,annotator_confidence,annotator_note,annotator_name,annotated_on
annr-15,"For instance, Mirvahedi and Hosseini (2023) retrospectively examined a nine-year-long family language policy within an Indian-Iranian transnational family.",Family language policy in retrospect: Narratives of success and failure in an Indian–Iranian transnational family,10.1007/s10993-023-09649-4,"Mirvahedi & Hosseini, 2023",Understanding the complexities of transnational family language policy.,,,,,
annr-16,"For example, in a problem-based curriculum, Loyens et al. (2008) found structural positive relations between Dutch students’ constructive conceptions of learning on the one hand and their use of deep processing and self-regulation strategies on the other hand.",Relationships between students’ conceptions of constructivist learning and their regulation and processing strategies,10.1007/s11251-008-9065-6,"Loyens et al., 2008","Relationships between conceptions of constructivist learning and regulation and processing strategies The present study investigated relationships between students’ conceptions of construc- tivist learning on the one hand, and their regulation and processing strategies on the other hand. Students in a constructivist, problem-based learning curriculum were questioned about their beliefs about the utility of knowledge construction and self-regulated learning.",,,,,
annr-17,Cusi et al. (2017) investigated the design and implementation of digital resources to enhance formative assessment strategies in elementary and secondary Italian classrooms.,Promoting formative assessment in a connected classroom environment: design and implementation of digital resources,10.1007/s11858-017-0878-0,"Cusi et al., 2017",Promoting formative assessment in a connected classroom environment: design and implementation of digital resources.,,,,,
annr-18,"There has been at least one formal mediation analysis (Murray et al., 2016) that showed how improvements in caregiver book-sharing competence associated with training accounted for much of the improvement in child language.","Randomized controlled trial of a book‐sharing intervention in a deprived South African community: effects on carer–infant interactions, and their relation to infant cognitive and socioemotional outcome",10.1111/jcpp.12605,"Murray et al., 2016","Mediation Analysis: Child Cognitive Outcomes As previously shown (Vally et al., 2015), the book-sharing training improved child cognitive outcomes (see Table 2).",,,,,
annr-19,"Fejes and Nylander (2015) undertook a bibliometric analysis on the top cited articles in Adult Education Quarterly, International Journal of Lifelong Education and Studies in Continuing Education and concluded that ‘qualitative approaches have near total dominance’.","How pluralistic is the research field on adult education? : Dominating bibliometrical trends, 2005-2012",10.3384/rela.2000-7426.rela9063,"Fejes & Nylander, 2015","Fejes, A., & Nylander, E. (2014). The Anglophone International(e): A bibliometric analysis of three adult education journals, 2005-2012.",,,,,
annr-20,The research work conducted by Chang and Wills (2013) show that there is a 15% improvement on learner’s satisfaction and performance of using the blended learning approach than using the classroom teaching approach.,A University of Greenwich Case Study of Cloud Computing,10.4018/978-1-4666-3914-0.ch013,"Chang & Wills, 2013",Two groups of cohort studies conform there is 15% improvement in learning satisfaction.,,,,,
annr-21,"Neiva (2021) adds a focus on media literacy, pointing to the importance of critical thinking and personal engagement in interpreting and deriving significance from media messages.",Developing Oral Interaction Skills in Foreign Language Learners through Media Literacy,10.14483/22487085.13373,"Neiva, 2021",Media literacy to promote critical thinking in the EFL classroom (Publication No.,,,,,
annr-22,"For instance, for students in tertiary education, the student employment rate is around 49% in the United States (US) and 47% in Europe (Beerkens et al., 2011).",University studies as a side job: causes and consequences of massive student employment in Estonia,10.1007/s10734-010-9356-0,"Beerkens et al., 2011","On average, the student employment rate is around 47% in Europe.",,,,,
annr-23,Paas and van Merriënboer (1994) conducted a comprehensive overview of factors determining the level of cognitive load and identified age as one of the causal factors.,Instructional control of cognitive load in the training of complex cognitive tasks,10.1007/bf02213420,"Paas & Merriënboer, 1994","Van Merri~nboer, J. J. G., and Paas, F.",,,,,
annr-24,"In addition, Bourbour et al. (2020) found through an observational study that preschool teachers use interactive whiteboards for teaching activities such as measuring, classifying, and sequencing, and that interactive whiteboards can play an active role in teachers’ scaffolding behaviors.",Putting Scaffolding Into Action: Preschool Teachers’ Actions Using Interactive Whiteboard,10.1007/s10643-019-00971-3,"Bourbour et al., 2020",De Vita et al. (2014) found that teachers’ use of IWBs promote the students’ lesson experiences in mathematics teaching.,,,,,
annr-25,"For instance, English as a Foreign Language (EFL) teachers in Indonesia had mostly integrated ICT at the substitution and augmentation levels, not fully exploiting its transformative potential (Budiman et al., 2018).","EFL TEACHER’S BELIEF AND PRACTICE ON INTEGRATING ICT IN THE CLASSROOM: A CASE STUDY ON THE IMPLEMENTATION OF SAMR MODEL IN TEACHING READING DESCRIPTIVE TEXT AT MA ASSALAM, SUKOHARJO",10.23917/humaniora.v19i2.6809,"Budiman et al., 2018","Budiman, A. 2016. “Exploring Types and Levels of Motivation of English as a Foreign Language (EFL) Learners at an Education Faculty in One of Indonesian Private Universities.” A thesis of B.A.",,,,,
annr-26,"Four teacher profiles (Carefree, Pragmatic, Uncertain and Worried) were identified by de Vocht and Laherto (2017) based on how open and positive the teachers feel about innovations.",Profiling teachers based on their professional attitudes towards teaching responsible research and innovation,10.30935/scimath/9511,"Vocht & Laherto, 2017","Teacher concern profiles and implications of RRI teaching In this study, we found four major groups of teachers based on their concerns about RRI teaching. More than half of the teachers belonged to one of the two positive profile types, the Carefree and the Pragmatic.",,,,,
