dataset,run,record_id,title,reason,category,notes
Nagtegaal_2019,A,642,Effectiveness of an electronic medical record clinical quality alert prepared by off-line data analysis,No abstract available; cannot confirm relevance to nudges or experimental design.,FN-ABS,
Nagtegaal_2019,A,1474,Promoting screening mammography in inner-city settings: a randomized controlled trial of computerized reminders as a component of a program to facilitate mammography,"Computerized reminders target women patients for mammography, not healthcare professionals' behaviour.",FN-POP,
Nagtegaal_2019,A,251,Behavioural insights in health care,No abstract available; cannot confirm it is an experiment on nudges for evidence-based medicine.,FN-ABS,
Nagtegaal_2019,A,408,Comparative effectiveness of audit-feedback versus additional physician communication training to improve cancer screening for patients with limited health literacy,Audit-feedback and physician training; not a soft-steering nudge intervention.,FN-DEF,
Nagtegaal_2019,A,700,Electronic medical records to increase the clinical treatment of tobacco dependence: a systematic review,,FN-OTHER,
Nagtegaal_2019,A,1767,The effect of the Vermont Diabetes Information System on inpatient and emergency room use: results from a randomized trial.,Decision support system for diabetes patients; not a nudge intervention targeting professional behaviour.,FN-POP,
Nagtegaal_2019,A,928,How to enhance physician and public acceptance and utilisation of colon cancer screening recommendations,"Review of CRC screening uptake interventions; overview article, not an experiment testing nudges.",FN-DESIGN,
Nagtegaal_2019,A,1705,Tailored information increases patient/physician discussion of colon cancer risk and testing: The Cancer Risk Intake System trial,Targets patients via tailored printouts to increase discussion; not a nudge on healthcare professionals' evidence-based behaviour.,FN-POP,
Nagtegaal_2019,A,1155,Leveraging insights from behavioral economics to increase the value of health-care service provision,Commentary/discussion on price transparency and behavioral economics; not an experimental nudge study.,FN-DESIGN,
Nagtegaal_2019,A,975,Implementation of a new policy results in a decrease of pressure ulcer frequency,"Policy implementation study on pressure ulcers; no nudge intervention described, targets organizational policy not individual soft steering.",FN-DEF,
Nagtegaal_2019,A,1722,Testing the implementation of clinical guidelines,"No abstract; title about testing guideline implementation, insufficient evidence of nudge experiment.",FN-ABS,
Nagtegaal_2019,A,1534,Randomized trial of a clinical decision support system: impact on the management of children with fever without apparent source.,"CDSS randomized trial; clinical decision support system, not a nudge soft-steering intervention.",FN-DEF,
Nagtegaal_2019,A,436,"Computerized decision support to reduce potentially inappropriate prescribing to older emergency department patients: a randomized, controlled trial.",Computerized decision support intervention; CDSS is not a nudge per taxonomy.,FN-DEF,
Nagtegaal_2019,A,658,Effectiveness of physical therapy for patients with neck pain: an individualized approach using a clinical decision-making algorithm,"Physical therapy effectiveness study on patients, not nudges targeting healthcare professionals.",FN-POP,
Nagtegaal_2019,A,599,Effect of a minimal pharmacy intervention on improvement of adherence to asthma guidelines.,Minimal pharmacy intervention to improve asthma guideline adherence; not clearly a nudge per taxonomy.,FN-DEF,
Nagtegaal_2019,A,96,A simple intervention to improve hospital antibiotic prescribing,Distribution of laminated antibiotic guideline cards; not a soft-steering nudge intervention.,FN-DEF,
Nagtegaal_2019,A,1050,Improving smoking cessation counseling using a point-of-care health intervention tool (IT): from the Virginia Practice Support and Research Network (VaPSRN),Handheld computer software tool for smoking cessation counseling; not a nudge intervention.,FN-DEF,
Nagtegaal_2019,A,952,Impact of a quality improvement program on care and outcomes for children with asthma.,Quality improvement learning collaborative for asthma; not a nudge per taxonomy.,FN-DEF,
Nagtegaal_2019,A,1029,"Improving empirical antibiotic treatment using TREAT, a computerized decision support system: cluster randomized trial.","Computerized decision support system, not a nudge/soft steering intervention per taxonomy.",FN-DEF,
Nagtegaal_2019,A,925,How payment systems affect physicians’ provision behaviour—an experimental investigation.,,FN-OTHER,
Nagtegaal_2019,A,889,Healthcare workers' hand decontamination practices: compliance with recommended guidelines,"Observational study of hand hygiene compliance, not an experiment comparing interventions.",FN-DESIGN,
Nagtegaal_2019,A,433,Computerized community cholesterol control (4C): meeting the challenge of secondary prevention.,"Clinical decision support system, not a nudge per taxonomy; focuses on computerized intervention for lipid management.",FN-DEF,
Nagtegaal_2019,A,2012,Words matter: increasing the implementation of clinical guidelines.,"Targets service users (patients), not healthcare professionals; about guideline language implementation for patients.",FN-POP,
Nagtegaal_2019,A,194,Approaches based on behavioral economics could help nudge patients and providers toward lower health spending growth,Conceptual/policy article on behavioral economics nudges; not an experimental study with comparison of interventions.,FN-DESIGN,
Nagtegaal_2019,A,1406,Practice development: bridging the research-practice divide through the appointment of a research lead,Evaluation of a research lead post; not a nudge experiment comparing interventions.,FN-DEF,
Nagtegaal_2019,A,101,A successful experiment to reduce unnecessary laboratory use in a community hospital,Feedback intervention on lab use; feedback is not classified as a nudge in taxonomy.,FN-DEF,
Nagtegaal_2019,A,1019,"Improving cardiovascular risk management: a randomized, controlled trial on the effect of a decision support tool for patients and physicians",Decision support tool RCT; decision support is not a soft nudge per taxonomy.,FN-DEF,
Nagtegaal_2019,A,1354,Patient safety research: an overview of the global evidence,"Overview of patient safety research literature, not a nudge experiment targeting evidence-based medicine.",FN-DESIGN,
Nagtegaal_2019,A,753,Evaluation of a decision support system for pressure ulcer prevention and management: preliminary findings,"Decision support system for pressure ulcers; not a nudge per taxonomy, targets nurse knowledge/decision-making.",FN-DEF,
Nagtegaal_2019,A,1731,The assessment of attention-deficit/hyperactivity disorder in rural primary care: the portability of the American Academy of Pediatrics guidelines to the “real world”.,Protocol implementation for ADHD assessment in rural practices; not a nudge experiment.,FN-DEF,
Nagtegaal_2019,A,1950,Use of action planning to increase provision of smoking cessation care by general practitioners: role of plan specificity and enactment,"Action planning training for GPs, not a nudge intervention per taxonomy; focuses on training programme.",FN-DEF,
Nagtegaal_2019,A,974,Implementation fidelity trajectories of a health promotion program in multidisciplinary settings: managing tensions in rehabilitation care,Implementation fidelity of health promotion program; not a nudge experiment on professionals.,FN-DEF,
Nagtegaal_2019,A,323,Changing physician behavior: what works?,"Systematic review of guideline implementation interventions, not an experiment on nudges.",FN-DESIGN,
Nagtegaal_2019,A,1038,Improving medication management in multimorbidity: development of the MultimorbiditY COllaborative Medication Review And DEcision Making (MY COMRADE) intervention using the Behaviour Change Wheel,"Intervention development using Behaviour Change Wheel, not an experimental nudge study.",FN-DESIGN,
Nagtegaal_2019,A,1144,Lack of chart reminder effectiveness on family medicine resident JNC-VI and NCEP III guideline knowledge and attitudes,"Measures knowledge and attitudes, not behaviour; chart reminder not clearly a nudge experiment on behaviour.",FN-DEF,
Nagtegaal_2019,A,1991,What implementation interventions increase cancer screening rates? a systematic review,"Systematic review of implementation interventions for cancer screening, not an experiment and not nudge-focused.",FN-DESIGN,
Nagtegaal_2019,A,1686,Successful reduction in catheter-associated urinary tract infections: focus on nurse-directed catheter removal.,"Interventional program to reduce catheter use; not clearly a nudge per taxonomy, targets system-wide change.",FN-DEF,
Nagtegaal_2019,A,1106,Interventions for implementation of thromboprophylaxis in hospitalized medical and surgical patients at risk for venous thromboembolism,"Systematic review of thromboprophylaxis implementation interventions; review article, not experiment.",FN-DESIGN,
Nagtegaal_2019,A,1053,Improving the appropriateness of antimicrobial use in primary care after implementation of a local antimicrobial guide in both levels of care,Before/after study of multiple interventions including a guide; not clearly a nudge per taxonomy.,FN-DEF,
Nagtegaal_2019,A,1542,Reasons and consequences of low adherence to standard precautions by the nursing team,"Integrative literature review on adherence reasons, not an experiment or nudge study.",FN-DESIGN,
Nagtegaal_2019,A,174,An intervention to change clinician behavior: Conceptual framework for the multicolored simplified asthma guideline reminder (MSAGR),"Describes conceptual framework for an asthma guideline reminder, not an experimental nudge study.",FN-DESIGN,
Nagtegaal_2019,A,1192,Management of severe sepsis in patients admitted to Asian intensive care units: prospective cohort study,"Prospective cohort study on sepsis bundle compliance, not an experiment comparing interventions.",FN-DESIGN,
Nagtegaal_2019,A,1412,Practice-level effects of interventions to improve asthma care in primary care settings: the Pediatric Asthma Care Patient Outcomes Research Team.,Peer leader and asthma education nurse interventions; not nudges per taxonomy.,FN-DEF,
Nagtegaal_2019,A,1615,Screening for colorectal cancer by once only sigmoidoscopy: a feasibility study in Turin,Sigmoidoscopy screening feasibility study targeting general population compliance; not nudges on healthcare professionals.,FN-POP,
Nagtegaal_2019,A,981,"Implementation of evidence-based treatment protocols to manage fever, hyperglycaemia, and swallowing dysfunction in acute stroke (QASC): a cluster randomised controlled trial","Cluster RCT of stroke treatment protocols, but not a nudge intervention per taxonomy.",FN-DEF,
Nagtegaal_2019,A,1043,Improving patient discharge and reducing hospital readmissions by using Intervention Mapping,"Intervention Mapping framework, not a nudge experiment targeting evidence-based medicine behaviour.",FN-DEF,
Nagtegaal_2019,A,222,Audit and feedback: effects on professional practice and health care outcomes,Systematic review of audit and feedback; not a nudge experiment.,FN-DESIGN,
Nagtegaal_2019,A,414,Comparison of the instructional efficacy of Internet-based CME with live interactive CME workshops: a randomized controlled trial,"CME workshop comparison; educational intervention, not a nudge.",FN-DEF,
Nagtegaal_2019,A,856,Guideline implementation in allied health professions: a systematic review of the literature,"Systematic review of guideline implementation, excluded as review article.",FN-DESIGN,
Nagtegaal_2019,A,103,A sustainable strategy to prevent misuse of antibiotics for acute respiratory infections,"Retrospective pre-post comparison of CDSS, not a nudge intervention per taxonomy.",FN-DESIGN,
Nagtegaal_2019,A,1405,Practice changes associated with the Department of Veterans Affairs' Family Care Collaborative,Quality improvement collaborative describing practice changes; no nudge intervention or experiment.,FN-DEF,
Nagtegaal_2019,A,1458,Proactive asthma care in childhood: general practice based randomised controlled trial.,RCT of proactive asthma care system with reminders; not a nudge taxonomy intervention.,FN-DEF,
Nagtegaal_2019,A,1750,The design and evaluation of a graphical display for laboratory data,"About graphical display design for lab data interpretation, not a nudge intervention promoting evidence-based medicine.",FN-DEF,
Nagtegaal_2019,A,1948,Use of a decision aid including information on overdetection to support informed choice about breast cancer screening: a randomised controlled trial.,"Targets women/patients making breast screening choices, not healthcare professionals.",FN-POP,
Nagtegaal_2019,A,652,"Effectiveness of medical nutrition therapy provided by dietitians in the management of non-insulin-dependent diabetes mellitus: a randomized, controlled clinical trial.",Dietitian nutrition therapy for diabetes patients; not a nudge on professionals.,FN-POP,
Nagtegaal_2019,A,594,Educational Intervention in Primary Care Residents' Knowledge and Performance of Hepatitis B Vaccination in Patients with Diabetes Mellitus,Educational intervention for residents' HBV vaccination knowledge; not a nudge experiment.,FN-DEF,
Nagtegaal_2019,A,1851,The role of theory in research to develop and evaluate the implementation of patient safety practices,Theoretical discussion of patient safety practices implementation; not a nudge experiment.,FN-DESIGN,
Nagtegaal_2019,A,1044,Improving physician compliance with preventive medicine guidelines,Checklists appended to charts to increase guideline compliance; likely reminder but not clearly a nudge experiment.,FN-DEF,
Nagtegaal_2019,A,1540,Rational prescribing in primary care (RaPP): economic evaluation of an intervention to improve professional practice.,Economic evaluation of tailored guideline implementation intervention; not focused on nudge effects.,FN-DESIGN,
Nagtegaal_2019,A,292,Can psychological models bridge the gap between clinical guidelines and clinicians' behaviour? A randomised controlled trial of an intervention to influence dentists' intention to implement evidence-based practice,"RCT changing dentists' intention via rehearsing actions; psychological intervention, not a nudge per taxonomy.",FN-DEF,
Nagtegaal_2019,A,51,A handheld computer smoking intervention tool and its effects on physician smoking cessation counseling,Handheld computer tool for physicians; not framed as a nudge intervention per taxonomy.,FN-DEF,
Nagtegaal_2019,A,1054,Improving the care for people with acute low-back pain by allied health professionals (the ALIGN trial): A cluster randomised trial protocol,Guideline implementation trial protocol; not specifically a nudge intervention.,FN-DESIGN,
Nagtegaal_2019,A,1042,Improving Patient Care Through Medical Image Perception Research,Medical image perception research; not about nudges or evidence-based medicine adherence experiments.,FN-DEF,
Nagtegaal_2019,A,1241,Modifying prescribing behaviour of angiotensin receptor blockers by selectively rescinding managerial prior authorization requirements for losartan.,"Rescinding prior authorization is managerial/administrative change, not a soft nudge intervention.",FN-DEF,
Nagtegaal_2019,A,320,Changing human behavior to prevent disease: the importance of targeting automatic processes.,"About changing general population health behaviors via automatic processes, not nudges for healthcare professionals or EBM.",FN-POP,
Nagtegaal_2019,A,648,Effectiveness of computer assisted instruction in increasing the rate of universal precautions related behaviours.,Computer-assisted instruction experiment on nurses' universal precautions; not a nudge per taxonomy.,FN-DEF,
Nagtegaal_2019,A,1930,"Understanding non-compliance to colorectal cancer screening: a case control study, nested in a randomised trial","Case-control study on patient colorectal screening compliance, targets patients not professionals.",FN-POP,
Nagtegaal_2019,A,1468,Professional interventions for general practitioners on the management of musculoskeletal conditions,"Cochrane systematic review of professional interventions for GPs, not a nudge experiment.",FN-DESIGN,
Nagtegaal_2019,A,1773,The effectiveness of computerized clinical guidelines in the process of care: a systematic review,"Systematic review of computerized clinical guidelines, not a nudge experiment.",FN-DESIGN,
Nagtegaal_2019,A,93,A review of the evidence for suboptimal compliance of healthcare practitioners to standard/universal infection control precautions,Review of infection control compliance; not an experiment testing nudges.,FN-DESIGN,
Nagtegaal_2019,A,692,Electronic antibiotic stewardship–reduced consumption of broad-spectrum antibiotics using a computerized antimicrobial approval system in a hospital setting.,"Computerized antimicrobial approval system is a restrictive/approval intervention, not a soft nudge; unclear if experimental comparison.",FN-DEF,
Nagtegaal_2019,A,410,Comparative efficacy of interventions to promote hand hygiene in hospital: systematic review and network meta-analysis,"Systematic review and network meta-analysis, excluded as overview article not experiment.",FN-DESIGN,
Nagtegaal_2019,A,1627,Self-formulated conditional plans for changing health behaviour among healthcare consumers and health professionals.,"Cochrane protocol on conditional plans for health behaviour, not a completed experiment on nudges.",FN-DESIGN,
Nagtegaal_2019,A,498,Design factors for success or failure of guideline-based decision support systems: an hypothesis involving case complexity,Discusses CDSS design factors and physician behavior but not nudges per taxonomy; no experiment described.,FN-DEF,
Nagtegaal_2019,A,999,Implementing research findings into practice using clinical opinion leaders: barriers and lessons learned,"Opinion leader intervention, not a nudge per taxonomy; multicomponent not soft steering experiment.",FN-DEF,
Nagtegaal_2019,A,942,Identifying and reducing errors with surgical simulation,"About surgical simulation training and technical skills, not nudges or evidence-based medicine adherence.",FN-DEF,
Nagtegaal_2019,A,525,Development of a complex intervention to promote appropriate prescribing and medication intensification in poorly controlled type 2 diabetes mellitus in Irish general practice,"Development of a complex intervention, not an experiment testing nudges; no comparison of interventions reported.",FN-DESIGN,
Nagtegaal_2019,A,1076,Information technology for patient safety,"Broad discussion of IT for patient safety, not a nudge experiment targeting evidence-based medicine.",FN-DESIGN,
Nagtegaal_2019,A,604,Effect of audit and feedback with peer review on general practitioners' prescribing and test ordering performance: a cluster-randomized controlled trial,Audit and feedback with peer review is not a nudge per taxonomy; targets prescribing/test ordering.,FN-DEF,
Nagtegaal_2019,A,1672,Strategies for rehabilitation professionals to move evidence-based knowledge into practice: a systematic review,"Systematic review of knowledge translation interventions, not an experiment testing nudges.",FN-DESIGN,
Nagtegaal_2019,A,2,Effect of a clinical pharmacy service on lipid control in patients with peripheral arterial disease.,Clinical pharmacy service for lipid control; not a nudge intervention per taxonomy.,FN-DEF,
Nagtegaal_2019,A,1666,Standard operating procedure changed pre-hospital critical care anaesthesiologists' behaviour: a quality control study,"Quality control study of standard operating procedure, not a nudge per taxonomy.",FN-DEF,
Nagtegaal_2019,A,1114,Interventions to modify health care provider adherence to asthma guidelines: a systematic review,Systematic review of interventions to improve asthma guideline adherence; systematic reviews are excluded.,FN-DESIGN,
Nagtegaal_2019,A,1752,The development of an intervention to promote adherence to national guidelines for suspected viral encephalitis.,Describes development of intervention for viral encephalitis guidelines; not an experimental nudge study.,FN-DESIGN,
Nagtegaal_2019,A,420,Complex pharmaceutical care intervention in pulmonary care: part A. The process and pharmacists' professional satisfaction.,"Pharmaceutical care intervention for patients, not a nudge targeting professionals' evidence-based behaviour.",FN-POP,
Nagtegaal_2019,A,2019,A Systematic Scoping Review of the Choice Architecture Movement: Toward Understanding When and Why Nudges Work,,FN-OTHER,
Nagtegaal_2019,A,1973,Variations in GPs' decisions to investigate suspected lung cancer: a factorial experiment using multimedia vignettes,"Factorial experiment on GPs' decisions to investigate lung cancer; examines patient characteristics, not nudges.",FN-DEF,
Nagtegaal_2019,A,1454,Printed educational materials: effects on professional practice and health care outcomes,Systematic review of printed educational materials; not an experiment testing nudges.,FN-DESIGN,
Nagtegaal_2019,A,1857,The systematic influence of gain-and loss-framed messages on interest in and use of different types of health behavior,"Framing messages targeting general health behaviors, not healthcare professionals or EBM nudges.",FN-POP,
Nagtegaal_2019,A,951,Impact of a multifaceted intervention on nurses' and physicians' attitudes and behaviors toward family presence during resuscitation,"Multifaceted intervention on family presence attitudes/behaviors, not a nudge per taxonomy.",FN-DEF,
Nagtegaal_2019,A,413,Comparison of strategies to reduce meticillin-resistant Staphylococcus aureus rates in surgical patients: a controlled multicentre intervention trial.,"Compares hand hygiene vs MRSA screening strategies, not soft nudging interventions.",FN-DEF,
Nagtegaal_2019,A,1678,Structured smoking cessation training for health professionals on cardiology wards: a prospective study,"Structured training and SOP implementation, not a nudge intervention.",FN-DEF,
Nagtegaal_2019,A,499,Design of high reliability organizations in health care,Organizational design principles for high reliability; not a nudge experiment.,FN-DEF,
Nagtegaal_2019,A,1210,Medical admission order sets to improve deep vein thrombosis prophylaxis rates and other outcomes,Order sets to improve DVT prophylaxis; unclear if nudge taxonomy or experiment comparison.,FN-DEF,
Nagtegaal_2019,A,193,Applying Choice Architecture Principles to Understand HIV Testing: Findings From Malawi and Zimbabwe,Choice architecture for HIV testing in general population; not targeting healthcare professionals.,FN-POP,
Nagtegaal_2019,A,424,Comprehensive asthma management for underserved children,Community asthma program description; not a nudge experiment on healthcare professionals.,FN-DEF,
Nagtegaal_2019,A,644,Effectiveness of an Intervention to Enhance Occupational Physicians' Guideline Adherence on Sickness Absence Duration in Workers with Common Mental Disorders: A Cluster-Randomized Controlled Trial,"Cluster-RCT on guideline adherence intervention for occupational physicians, but not described as a nudge intervention.",FN-DEF,
Nagtegaal_2019,A,1013,Improving antibiotic prescribing for adults with community acquired pneumonia: Does a computerised decision support system achieve more than academic detailing alone?--A time series analysis,"Academic detailing and CDSS are educational/decision support, not soft-steering nudges per taxonomy.",FN-DEF,
Nagtegaal_2019,A,1057,Improving the success of mailed letter intervention programs to influence prescribing behaviors: a review,"Review of mailed educational interventions, not a nudge experiment.",FN-DESIGN,
Nagtegaal_2019,A,376,Cluster randomized trial of a multilevel evidence-based quality improvement approach to tailoring VA Patient Aligned Care Teams to the needs of women Veterans,"Multilevel quality improvement implementation trial, not a nudge intervention per taxonomy.",FN-DEF,
Nagtegaal_2019,A,822,Framing options as choice or opportunity: does the frame influence decisions?,"Targets healthy women/patients, not healthcare professionals; about trial participation framing, not EBM.",FN-POP,
Nagtegaal_2019,A,1805,The impact of infectious diseases specialist-directed computerized physician order entry antimicrobial stewardship program targeting linezolid use,No abstract available; cannot confirm nudge experiment on evidence-based medicine.,FN-ABS,
Nagtegaal_2019,A,1181,Management for Physicians: An Annotated Bibliography of Recent Literature,Annotated bibliography on physician management; not a nudge experiment on evidence-based medicine.,FN-DEF,
Nagtegaal_2019,A,994,Implementing guidelines for depression on antidepressant prescribing in general practice: a quasi-experimental evaluation,"Quasi-experimental evaluation of guideline implementation on antidepressant prescribing, but no nudge intervention described.",FN-DEF,
Nagtegaal_2019,A,1028,Improving empiric antibiotic selection using computer decision support.,"Computer decision support for antibiotic selection, not a nudge per taxonomy; targets physician prescribing but intervention is decision support.",FN-DEF,
Nagtegaal_2019,A,532,"Development, implementation, and evaluation of a community pharmacy-based asthma care model","Community pharmacy asthma care model evaluation, not a nudge intervention targeting evidence-based medicine.",FN-DEF,
Nagtegaal_2019,A,1362,Performance of the TREAT decision support system in an environment with a low prevalence of resistant pathogens.,Retrospective evaluation of TREAT decision support; not a prospective experiment comparing interventions.,FN-DESIGN,
Nagtegaal_2019,A,1330,Overdiagnosis and overtreatment as a quality problem: insights from healthcare improvement research,"No abstract; topic on overdiagnosis quality problem, not nudges for professionals.",FN-ABS,
Nagtegaal_2019,A,1113,Interventions to increase the use of electronic health information by healthcare practitioners to improve clinical practice and patient outcomes,Systematic review of interventions to increase electronic health information use; not specifically about nudges.,FN-DESIGN,
Nagtegaal_2019,A,45,A controlled trial of web-based diabetes disease management.,Web-based decision support tool for diabetes management; not framed as a nudge intervention.,FN-DEF,
Nagtegaal_2019,A,1786,The employment of ward opinion leaders for continuing education in the hospital.,Opinion leader education intervention for catheter care; not a nudge per taxonomy.,FN-DEF,
Nagtegaal_2019,A,109,A tailored intervention to implement guideline recommendations for elderly patients with depression in primary care: a pragmatic cluster randomised trial,Tailored implementation intervention for depression guidelines; not framed as a nudge study.,FN-DEF,
Nagtegaal_2019,A,1,"A prospective, controlled trial of a pharmacy-driven alert system to increase thromboprophylaxis rates in medical inpatients.","Pharmacy-driven alert system for thromboprophylaxis; likely not a nudge, more active alerting.",FN-DEF,
Nagtegaal_2019,A,1859,The tools of an evidence-based culture: implementing clinical-practice guidelines in an Israeli HMO,Program implementation of CPGs; unclear if nudge experiment with comparison of interventions.,FN-DEF,
Nagtegaal_2019,A,245,Behavioral economics and physician compensation—promise and challenges.,"No abstract; topic on physician compensation, unclear nudge experiment relevance.",FN-ABS,
Nagtegaal_2019,A,1900,Translating Clinical Research into Clinical Practice: Impact of Using Prediction Rules To Make Decisions,Review of prediction rules impact analysis; not an experiment testing nudges.,FN-DESIGN,
Nagtegaal_2019,A,1483,Prospective comparative study of computer programs used for management of warfarin.,Compares computer dosing programs for warfarin; not a nudge intervention per taxonomy.,FN-DEF,
Nagtegaal_2019,A,1760,The effect of adding Pap smear information to a mammography reminder system in an HMO: results of randomized controlled trial.,"Reminders target women patients for screening, not healthcare professionals.",FN-POP,
Nagtegaal_2019,A,503,Designing a valid randomized pragmatic primary care implementation trial: the my own health report (MOHR) project,"Focuses on patient-reported health information collection in primary care, not nudges targeting healthcare professionals for evidence-based medicine.",FN-POP,
Nagtegaal_2019,A,1152,Lessons from a randomized controlled trial designed to evaluate computer decision support software to improve the management of asthma,RCT of computer decision support software for asthma; decision support not classified as nudge.,FN-DEF,
Nagtegaal_2019,A,905,Heterogeneous effect of an Emergency Department Expert Charting System,"Interrupted time-series of expert charting system with guideline advice; decision support, not a nudge.",FN-DEF,
Nagtegaal_2019,A,1088,"Integrating ""Back to Sleep"" recommendations into neonatal ICU practice",Quality improvement project on safe sleep practices in NICU; not clearly a nudge experiment per taxonomy.,FN-DEF,
Nagtegaal_2019,A,1206,Measuring persistence of implementation: QUERI Series,Discusses implementation sustainability conceptually; not an experimental nudge study.,FN-DESIGN,
Nagtegaal_2019,A,984,Implementation of the Tobacco Tactics intervention versus usual care in Trinity Health community hospitals,"Tobacco cessation intervention implementation, not a nudge targeting evidence-based medicine adherence.",FN-DEF,
Nagtegaal_2019,A,384,Cognitive debiasing 2: impediments to and strategies for change,"Cognitive debiasing strategies review, not a nudge experiment on evidence-based medicine behaviour.",FN-DESIGN,
Nagtegaal_2019,A,806,Feasibility and impact of a computerised clinical decision support system on investigation and initial management of new onset chest pain: a mixed methods study,"CDSS for chest pain management; decision support system, not clearly a nudge per taxonomy.",FN-DEF,
Nagtegaal_2019,A,86,A randomized trial of the effectiveness of on-demand versus computer-triggered drug decision support in primary care.,,FN-OTHER,
Nagtegaal_2019,A,1442,Primary care guidelines on consultation practices: the effectiveness of computerized versus paperbased versions. A cluster randomized controlled trial among newly qualified primary care physicians.,"Compares computerized vs paper guidelines; format comparison, not a nudge intervention.",FN-DEF,
Nagtegaal_2019,A,1016,"Improving asthma-related health outcomes among low-income, multiethnic, school-aged children: results of a demonstration project that combined continuous quality improvement and community health worker strategies",Quality improvement and community health worker strategies; not a nudge intervention.,FN-DEF,
Nagtegaal_2019,A,1115,Interventions to promote the evidence-based care of children with ADHD in primary-care settings,Abstract truncated; no clear evidence of nudge intervention or experiment on evidence-based ADHD care.,FN-ABS,
Nagtegaal_2019,A,1622,Screening Surgeons for HIV Infection: A Cost-effectiveness Analysis,"Cost-effectiveness analysis of HIV screening policy, not a nudge experiment on professional behaviour.",FN-DESIGN,
Nagtegaal_2019,A,1018,"Improving blood pressure control through provider education, provider alerts, and patient education: a cluster randomized trial.","Cluster RCT on provider education, alerts, and patient education; interventions are not soft nudges per taxonomy.",FN-DEF,
Nagtegaal_2019,A,857,Guideline implementation: what the literature doesn't tell us,Literature review of guideline implementation studies; not an experiment testing nudges.,FN-DESIGN,
Nagtegaal_2019,A,1022,Improving clinical handover between intensive care unit and general ward professionals at intensive care unit discharge.,"Systematic review of handover interventions, not a nudge experiment and is a review article.",FN-DESIGN,
Nagtegaal_2019,A,1333,Paediatric nurses' postoperative pain management practices in hospital based non-critical care settings: a narrative review,"Narrative review of pain management practices, not an experiment testing nudges.",FN-DESIGN,
Nagtegaal_2019,A,608,Effect of Clinical Decision-Support Systems: a systematic review,"Systematic review of clinical decision-support systems; review article, not a nudge experiment.",FN-DESIGN,
Nagtegaal_2019,A,221,Audit and feedback as a clinical practice guideline implementation strategy: a model for acute care nurse practitioners,"Audit and feedback implementation strategy, not a nudge per taxonomy.",FN-DEF,
Nagtegaal_2019,A,1207,Measuring the effectiveness of a collaborative for quality improvement in pediatric asthma care: does implementing the chronic care model improve processes and outcomes of care?,Quality improvement collaborative for asthma care; not a nudge intervention targeting professionals.,FN-DEF,
Nagtegaal_2019,A,962,Impact of feedback and didactic sessions on the reporting behavior of upper endoscopic findings by physicians and nurses,,FN-OTHER,
Nagtegaal_2019,A,375,Cluster randomized trial of a multifaceted primary care decision-support intervention for inherited breast cancer risk.,"Multifaceted decision-support intervention, not a nudge per taxonomy; targets GP confidence not behaviour change via soft steering.",FN-DEF,
Nagtegaal_2019,A,80,A randomized outpatient trial of a decision-support information technology tool.,"Decision-support information technology tool, not a nudge intervention per Munscher taxonomy.",FN-DEF,
